video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,10.539244303119261,3.672329847256534,176.2127092751663,156.8719399846027,173.90173952126895,332,146,285,154,327,186,314,226,296,141,333,207,288,268,280,329,348,328,314,329
0:00:00,11.713563005079976,5.681113191996162,177.3402811725358,157.6467533235319,173.83740660635118,332,145,285,154,327,186,315,226,296,141,332,207,288,269,280,329,348,328,314,329
0:00:00,11.713563005079976,5.499005185407407,177.97146446810893,157.94539801934843,173.71027949753918,332,145,285,154,328,186,315,227,296,142,332,207,288,269,280,329,348,328,314,329
0:00:00,11.494051895136352,5.499005185407407,178.3690118635315,158.2724228398228,173.66811649197086,333,145,285,154,328,187,315,228,296,142,332,208,288,269,280,329,348,328,314,329
0:00:00,11.494051895136352,5.499005185407407,178.62726194847062,158.42962968810554,173.70168855273693,333,145,285,154,328,187,315,228,296,142,332,208,288,269,280,329,348,328,314,329
0:00:00,11.494051895136352,5.499005185407407,178.80353567122802,158.6308245778318,173.5989710445712,333,145,285,154,328,188,315,228,296,142,332,208,288,269,280,329,348,328,314,329
0:00:00,11.494051895136352,3.672329847256534,178.9033014634897,158.78326999287825,173.57897793937178,333,145,285,154,328,188,315,229,296,142,332,209,288,269,280,329,348,328,314,328
0:00:00,11.494051895136352,3.672329847256534,179.03467956157016,159.0174775004639,173.364131307034,333,145,285,154,328,189,315,229,295,142,332,209,288,269,280,329,348,328,314,328
0:00:00,11.494051895136352,3.794385335221981,179.1895624131209,159.13006490562796,173.24740764474927,333,145,285,154,328,189,315,229,295,142,331,209,288,269,280,329,348,328,314,328
0:00:00,11.494051895136352,3.794385335221981,179.31927380254788,159.1797093697286,172.99914728513477,333,145,285,154,328,189,315,229,295,142,331,209,288,269,279,329,348,328,314,328
0:00:00,11.494051895136352,3.794385335221981,179.4564744526093,159.2282517750085,172.89761065526358,333,145,285,154,329,189,315,229,295,142,331,209,288,269,279,329,348,328,314,328
0:00:00,11.494051895136352,3.794385335221981,179.5501799542958,159.2408589568852,172.9510132587274,333,145,285,154,329,189,315,229,295,142,331,209,288,269,279,329,348,328,314,328
0:00:00,11.494051895136352,3.794385335221981,179.69038647437793,159.31382799626857,173.05507334598553,333,145,285,154,329,189,316,229,296,142,331,209,288,269,279,329,348,328,313,328
0:00:00,11.494051895136352,3.794385335221981,179.80906746079165,159.4510218486425,173.259868101755,333,145,285,154,328,189,316,229,296,142,331,210,288,269,279,329,348,328,313,328
0:00:00,11.494051895136352,3.794385335221981,179.89342252644678,159.49693057615482,173.5771057495455,333,145,285,154,328,189,316,229,296,141,331,210,288,269,279,329,348,328,313,328
