video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,18.193656242755168,11.62902483677528,178.50923697015415,159.14163596355627,170.9895606405475,343,109,295,124,344,151,334,191,316,99,339,177,301,241,289,294,354,293,322,293
0:00:00,18.193656242755168,9.731907054091119,178.56020609804298,158.69076703870664,170.66588404680726,343,110,295,125,344,151,335,191,316,100,339,177,301,240,289,294,354,293,322,293
0:00:00,18.193656242755168,9.731907054091119,178.66657843762044,158.56191142401124,170.40450164913008,343,110,295,125,345,152,335,191,315,100,339,177,302,240,289,294,354,292,322,293
0:00:00,19.269000345990406,10.072404795992078,178.92150351750388,158.20770852745756,170.12900783407107,343,110,295,126,345,152,335,192,315,100,339,177,302,240,289,294,354,292,322,293
0:00:00,19.269000345990406,11.629024836775308,179.05632998211775,158.22164249973818,170.21430177784316,343,110,295,126,345,152,335,192,315,100,340,177,302,241,289,294,354,292,322,293
0:00:00,19.269000345990406,11.629024836775308,179.13024029251514,158.1218667859798,170.23074408050553,343,110,295,126,345,152,335,191,315,101,340,177,302,241,289,294,354,291,322,293
0:00:00,18.193656242755168,10.072404795992078,179.1502469338491,158.25434832678988,170.11305213357582,343,111,295,126,345,153,335,191,315,101,340,178,302,241,289,294,354,291,322,293
0:00:00,18.193656242755168,10.072404795992078,179.12683658627577,158.31824071789742,169.95125391416292,343,111,295,126,345,153,335,191,315,101,340,178,301,241,289,294,354,291,322,293
0:00:00,17.86187884882122,10.072404795992078,179.1101726760012,158.319291542126,169.59165358653473,344,111,295,126,346,153,335,191,315,101,340,178,301,241,289,294,354,291,322,293
0:00:00,17.86187884882122,10.072404795992078,179.07683322280084,158.29549351297342,169.4669112925337,344,111,295,126,346,153,335,191,315,101,340,177,301,240,289,294,354,290,322,292
0:00:00,17.86187884882122,8.088132112437416,179.05669692722088,158.34092503053452,169.38685053091464,344,111,295,126,346,153,335,191,314,101,340,178,302,240,289,294,354,290,322,292
0:00:00,17.86187884882122,7.812771935680716,179.03213911711833,158.35886924926106,169.65948920975453,344,111,295,126,345,154,335,191,313,101,340,178,302,240,289,294,354,290,322,292
0:00:00,17.86187884882122,9.731907054091119,179.035200260116,158.3050486111997,169.60887454616216,344,111,295,126,345,154,335,192,313,101,340,177,302,239,289,294,354,290,322,292
0:00:00,17.86187884882122,9.731907054091119,179.04156016333252,158.16406038908536,169.55110496794288,344,111,295,126,345,154,334,192,313,101,340,177,302,239,289,294,354,290,322,292
0:00:00,17.86187884882122,9.731907054091119,178.99929364711775,157.92105713494342,169.60177040119976,344,111,295,126,345,154,335,192,313,101,340,177,302,239,289,294,354,290,322,292
0:00:01,18.193656242755168,9.731907054091119,178.93628577830157,157.5318338868518,169.81304058454694,343,111,295,126,345,154,335,192,312,101,340,177,302,239,289,294,354,290,322,292
