video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,10.885534088851472,3.55787216976969,176.55433902820013,167.8606443969993,174.33764799520404,311,106,260,115,301,150,298,190,281,91,303,184,256,249,244,306,331,305,288,305
0:00:00,10.885534088851472,3.55787216976969,176.6508943651332,167.78944423078295,175.06573794497578,311,106,260,115,301,149,298,188,281,93,303,184,256,248,244,306,331,305,288,305
0:00:00,9.798123940072458,3.55787216976969,176.70818802551753,167.74153831220363,175.65371614010408,311,107,260,115,302,149,298,187,281,94,303,184,256,248,244,305,331,304,287,305
0:00:00,9.798123940072458,3.55787216976969,176.77264265973,167.71800370334446,175.86436474007357,311,107,260,115,302,149,298,187,281,95,303,184,256,248,244,305,331,304,287,305
0:00:00,9.798123940072458,3.55787216976969,176.81341581268737,167.68492942558765,176.0096995575226,311,107,260,115,302,149,298,188,280,95,303,184,256,248,244,305,331,304,287,305
0:00:00,9.798123940072458,3.45032512758016,176.81124274862194,167.66082590981688,175.99910915656636,311,107,260,115,302,149,298,188,280,95,304,184,256,248,244,305,331,304,287,305
0:00:00,9.798123940072458,3.5578721697695883,176.76392906568125,167.65422389243813,175.94351793119438,311,107,260,115,302,149,298,188,280,95,304,184,256,248,244,305,331,304,287,305
0:00:00,9.798123940072458,3.5578721697695883,176.77685656977656,167.60819196463208,175.85548989422225,311,107,260,115,302,149,298,187,280,95,304,184,256,248,245,305,331,304,288,305
0:00:00,9.798123940072458,3.5578721697695883,176.5931656413667,167.6098424866551,175.7878189095143,311,107,260,115,302,149,298,187,280,95,304,184,256,248,245,305,331,304,288,305
0:00:00,9.798123940072458,5.328176526039552,176.50339291046737,167.59670592599096,175.7716220348408,311,107,260,115,302,149,298,188,280,95,304,184,256,248,245,305,331,304,288,304
0:00:00,8.70416719623583,3.5578721697695883,176.38618281190384,167.5361484316975,175.82716474228476,311,108,260,115,302,149,298,188,281,95,304,185,256,248,245,305,331,304,288,304
0:00:00,8.70416719623583,3.5578721697695883,176.3610770849795,167.52932514977346,175.66628762730306,311,108,260,115,302,149,298,189,281,95,304,185,256,248,245,305,331,304,288,304
0:00:00,8.70416719623583,3.5578721697695883,176.27576578708891,167.56965606780958,175.659202461229,311,108,260,115,302,149,299,189,281,95,304,185,256,248,245,305,331,304,288,304
0:00:00,8.70416719623583,3.5578721697695883,176.21665780175127,167.59243501618965,175.6481689697931,311,108,260,115,302,149,299,189,281,95,304,185,256,248,245,305,331,304,288,304
0:00:00,9.798123940072458,3.5578721697695883,176.03906107430345,167.60161797497005,175.66048196255778,311,107,260,115,302,149,299,189,281,95,304,185,256,248,245,304,331,304,288,304
0:00:01,9.798123940072458,3.5578721697695883,175.85655709000093,167.6388329555845,175.71778255743877,311,107,260,115,302,149,298,189,281,95,304,185,256,248,245,304,331,304,288,304
0:00:01,8.70416719623583,3.5578721697695883,175.4416452370672,167.72734073737666,175.71073172133345,311,108,260,115,302,149,298,189,281,95,304,185,256,248,245,304,331,304,288,304
0:00:01,8.70416719623583,3.55787216976969,175.11450854483925,167.9124947554562,175.02006785531236,311,109,260,116,301,150,297,189,281,96,303,185,256,248,245,304,331,304,288,304
0:00:01,7.604417185693023,1.7806705055252983,174.99609774716853,168.13057373936596,175.18495313981055,311,110,260,116,300,150,294,189,281,96,303,185,256,248,245,304,331,304,288,304
0:00:01,6.393190130652613,1.8380722988093936,174.90287399015344,168.25888672591677,175.02695579461758,311,111,259,116,298,151,292,189,282,97,302,185,255,248,245,305,331,304,288,304
0:00:01,6.393190130652613,1.7806705055250958,174.7054847774895,168.51197436178418,175.71271591048873,311,111,259,116,297,151,288,189,282,97,302,185,254,249,243,308,331,304,287,306
0:00:01,4.278300640178003,3.5578721697695883,174.78524655201167,168.41541194061324,176.65314991179142,310,113,259,116,295,151,283,189,281,97,302,185,254,249,243,307,331,304,287,306
0:00:01,3.208003911409378,3.672329847256534,174.81167690011176,168.57950499281068,178.08224322101452,309,113,259,115,291,152,276,191,280,97,302,185,254,248,244,306,331,304,287,305
0:00:01,2.0923225945141724,1.7806705055250958,174.84602744461867,168.73695740979926,177.56037617275314,308,114,259,113,289,152,266,191,279,98,302,185,254,247,244,305,331,304,288,305
0:00:01,5.768620972015924,1.7806705055250958,175.15449462301848,169.00247735806616,172.4717616568329,306,116,259,112,286,154,259,188,278,99,302,185,254,247,245,305,331,304,288,304
0:00:01,8.484656086292205,0.0,175.08017457746857,169.42837500215973,166.28566624845968,304,118,259,112,282,157,249,187,277,99,302,185,254,245,245,305,331,304,288,304
0:00:01,12.68968070507566,0.0,175.0709775964246,170.30143989244107,167.34238102163857,302,119,259,110,276,153,243,179,275,99,302,185,254,244,245,304,331,304,288,304
0:00:01,16.373189214671754,0.0,176.12277276001842,171.95121440256088,169.9803417289815,298,118,262,108,263,153,230,174,274,97,301,185,254,243,245,304,331,304,288,304
0:00:01,17.234150923268913,0.0,176.65401257202748,172.9615092985248,141.4380665993829,297,118,263,108,262,152,225,161,273,96,300,185,254,243,245,304,331,303,288,303
0:00:01,21.981237232778483,0.0,177.5762381653961,174.055219771741,154.99098573455618,294,118,263,106,251,142,212,150,268,96,299,185,253,244,245,304,331,303,288,303
0:00:01,25.70542100888875,1.8992967650601036,179.34950991193048,175.44514584662278,157.13664736578525,292,118,264,105,246,134,205,137,267,95,299,187,253,244,245,303,331,302,288,303
0:00:01,28.339793716515914,1.8992967650601036,178.99185328970523,176.99863661737052,150.29720671097354,290,118,267,106,243,127,203,123,265,95,298,188,253,244,245,303,330,302,288,302
0:00:01,27.357132458427742,1.9647387569719397,176.90499984155903,177.45203021986936,135.3318972975911,289,118,267,107,245,122,208,108,264,94,297,189,252,244,245,303,329,301,287,302
0:00:01,24.008050563631542,2.0348494227212552,174.69905133291746,177.86143519087616,135.9338969211928,288,118,267,109,248,117,217,100,262,94,296,190,252,245,245,303,329,301,287,302
0:00:01,25.03189253495941,0.0,172.62651603436686,178.2285888740623,138.78746455908424,287,118,267,109,250,114,217,91,261,94,295,189,252,246,245,303,328,301,287,302
0:00:01,13.856753084453288,0.0,171.93242924029255,176.6019463974232,152.5219298839501,288,115,262,109,255,102,232,77,259,92,295,189,251,246,245,303,328,301,287,302
0:00:01,13.393348660196494,0.0,172.1987434523353,176.44202245831494,142.77328782831188,288,114,261,108,257,102,243,81,259,90,294,189,251,246,245,303,327,301,286,302
0:00:01,7.236680352293831,0.0,172.34606126435406,176.14426094035005,175.33492122000288,287,111,260,108,258,86,242,73,259,88,294,189,250,246,245,303,327,301,286,302
0:00:01,8.01745343454715,0.0,172.7786301439211,176.09770589541955,141.04410459938086,285,111,261,108,272,81,246,69,258,88,294,189,250,246,245,303,327,300,286,302
0:00:01,9.97256869000671,0.0,173.21284379413692,176.47708774705737,178.17279971768272,286,110,261,106,269,95,246,73,258,87,295,189,250,246,245,303,327,300,286,302
0:00:01,12.636755929198557,0.0,173.1271333152945,176.0644358818674,147.5188519445425,286,111,262,106,261,102,243,81,259,87,296,189,251,247,245,303,328,301,287,302
