video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,right_shoulder X,right_shoulder Y,left_shoulder X,left_shoulder Y,left_elbow X,left_elbow Y,right_wrist X,right_wrist Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,19.269000345990378,6.30746160691205,177.51392252827318,159.03485000854732,175.66884076564304,264,142,306,128,306,160,294,207,309,187,279,124,308,188,265,245,250,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,178.01566730819204,159.10724333711414,176.55607839694468,264,142,306,128,305,161,294,207,308,189,278,125,307,188,265,245,250,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,178.320406153198,159.15368877172816,176.94743588915213,264,142,306,128,305,161,294,207,307,190,277,126,307,188,266,245,250,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,178.61106410190698,159.20887261452341,177.16268113355773,264,142,306,128,305,162,294,207,307,191,277,126,307,187,266,245,251,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,178.86101532627615,159.2269081395488,177.19773905138837,264,142,306,128,305,162,294,207,306,192,277,127,307,187,266,244,251,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,178.98470626093712,159.27575710792277,177.26510823376464,264,142,306,128,305,162,294,206,306,192,277,127,307,187,266,244,251,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,179.03426800614864,159.26924164956282,177.35586645329158,264,142,306,128,305,162,294,207,306,192,277,127,307,187,266,244,251,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,179.04038715200664,159.25544853109298,177.37016588429756,264,142,306,128,305,163,294,207,306,193,277,127,307,187,266,244,251,296,331,292,291,294
0:00:00,19.269000345990378,6.547966508763267,179.04588178460034,159.20426935600852,177.3999544202646,264,142,306,128,305,163,294,207,306,193,277,127,307,187,266,244,251,296,331,292,291,294
0:00:00,18.870405444686384,6.547966508763267,179.0668684087128,159.10627603475731,178.2722822069718,264,142,307,128,307,163,294,207,306,193,277,127,307,187,266,244,251,296,331,292,291,294
0:00:00,18.870405444686384,6.547966508763267,179.0836981566609,159.0166866739423,176.4179760405363,264,142,307,128,308,164,294,208,306,193,277,128,307,187,266,244,251,296,331,292,291,294
0:00:00,18.870405444686384,6.547966508763267,179.09146332357867,158.96226053919878,175.83000101743855,264,142,307,128,308,164,294,208,306,193,277,128,307,187,266,244,251,296,331,292,291,294
0:00:00,18.870405444686384,8.701011718530117,179.1022312138546,158.89546174519597,175.61750290289635,264,142,307,128,308,164,294,208,306,193,277,128,307,186,266,244,251,296,331,292,291,294
0:00:00,18.870405444686384,8.701011718530117,179.1136200409596,158.81090668797566,175.62154473454623,264,142,307,128,308,164,294,208,306,193,277,128,307,186,266,244,251,296,331,292,291,294
0:00:00,18.870405444686384,8.701011718530117,179.11042586720754,158.70943192700886,178.76177895107654,264,142,307,128,307,164,294,208,306,194,277,128,307,186,266,244,251,296,331,292,291,294
0:00:01,18.870405444686384,8.701011718530117,179.02641684023905,158.6817836001502,178.98450692465846,264,142,307,128,306,164,294,208,306,195,277,128,307,186,266,244,251,296,331,293,291,294
0:00:01,18.870405444686384,8.701011718530117,178.95871443338027,158.6470677597666,178.25956842184738,264,142,307,128,305,164,294,208,305,197,277,128,307,186,266,244,251,296,331,293,291,294
0:00:01,18.870405444686384,8.701011718530117,178.88878057924785,158.62234688043557,177.2737348716416,264,142,307,128,304,164,294,208,305,196,277,128,307,186,266,243,251,296,331,293,291,294
0:00:01,19.269000345990378,9.04334994462487,178.66774009440599,158.81869440805227,176.92564145709218,264,142,306,128,304,163,293,207,306,196,277,128,306,186,266,243,251,296,331,293,291,294
0:00:01,19.269000345990378,8.701011718530117,178.47063603182806,159.00799634789905,176.62593794837744,264,142,306,128,304,163,293,207,306,196,277,128,306,186,266,243,251,296,331,293,291,294
0:00:01,18.870405444686384,8.701011718530117,178.16398539365755,159.29342864941472,177.01838846594205,263,142,306,128,303,163,290,207,303,196,277,128,306,186,266,243,251,296,331,293,291,294
0:00:01,18.038975482698163,8.701011718530117,177.80266527855173,159.63552250814251,177.82646957366413,263,141,305,128,301,164,288,207,299,199,277,128,306,186,266,243,251,296,331,293,291,294
0:00:01,15.204474853228874,9.043349944624909,177.64948976529004,159.6679549837261,177.68370792311097,262,140,305,129,300,165,284,207,297,199,278,129,305,186,266,244,251,296,331,293,291,294
0:00:01,12.68968070507566,4.375997802377407,177.78783945041903,159.78636086728767,176.6868267060891,261,139,304,130,296,166,277,207,292,200,278,129,305,185,266,243,251,296,331,293,291,294
0:00:01,9.01735085781911,4.375997802377407,177.8780956418247,160.26699416564097,176.60753349354744,260,137,302,131,291,167,270,204,284,200,278,129,305,185,266,242,251,296,331,293,291,294
