video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,12.461551562945061,6.807448783045268,178.72975530228734,161.19390296707923,175.41845427329537,305,158,266,166,298,194,297,226,277,151,307,215,267,268,251,313,325,314,288,313
0:00:00,12.461551562945061,4.550309185597563,178.83787512214226,161.083339471923,175.75920894025117,305,158,266,166,299,194,298,226,277,149,307,215,267,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,178.9257639349779,161.0392943076792,175.97378603936244,305,158,266,166,299,194,298,227,277,149,307,215,267,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,178.9897201656621,161.03207036894628,176.10187864523436,305,158,266,166,299,194,298,228,277,148,307,215,267,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.0430989138746,161.0293320976878,176.1584000027294,305,158,266,166,299,195,298,228,277,148,307,215,267,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.07586142575553,161.00999621747738,176.19443078231566,305,158,266,166,299,195,298,228,277,148,307,215,267,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.1300712486701,160.9978918041257,176.23698571872706,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.19160952154897,161.01203356379636,176.22758433174,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.23052236639788,161.01935493775463,176.21141003553754,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.27167408218264,161.0202008151638,176.1956158366879,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.31075689427652,161.01024390910516,176.1627207982297,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.36233256142302,161.0079420922246,176.12494678943156,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.40815914237714,161.00416492787645,176.08694557619023,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.44995752662257,161.00699218429727,176.07177996454297,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:00,12.461551562945061,2.278785166027596,179.50904520140594,161.00691731529776,176.05214182104714,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:01,12.461551562945061,2.278785166027596,179.5549159723811,161.03177461015176,175.96543095755243,305,158,266,166,299,195,298,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:01,12.461551562945061,2.278785166027596,179.5945172364755,161.06314922972658,175.83436969644066,305,158,266,166,299,195,299,228,277,148,307,215,266,268,251,313,325,314,288,313
0:00:01,12.461551562945061,2.278785166027596,179.63340822651315,161.1172140455051,175.6614578799531,305,158,266,166,299,195,299,228,277,149,307,215,266,268,251,313,325,314,288,313
0:00:01,12.461551562945061,2.278785166027596,179.68562372794824,161.14872860025616,175.3295522560947,305,158,266,166,299,195,299,228,277,149,307,215,267,268,251,313,325,314,288,313
0:00:01,12.461551562945061,2.278785166027596,179.99869884872228,161.25311209794586,175.22900925862226,305,158,266,166,299,195,299,229,277,149,307,215,267,268,251,313,325,314,288,313
0:00:01,12.461551562945061,2.278785166027596,179.48041090343384,161.17589851521095,175.15016773748692,305,158,266,166,299,195,299,229,277,149,307,215,267,268,251,313,325,314,288,313
0:00:01,11.31281244232926,2.278785166027596,179.09868360302727,161.26211513449928,175.97513478769983,304,158,266,165,299,195,298,229,277,149,307,215,267,268,251,314,325,314,288,314
