video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,8.857687409859835,6.875549109065888,179.8990932130092,164.79054240537903,179.16917868380435,346,108,296,115,340,154,333,194,315,98,342,177,289,245,277,304,370,301,324,302
0:00:00,9.017350857819167,5.167613570442465,179.46653008277886,166.28405903798938,179.30423304174326,346,108,297,115,340,154,333,194,316,99,342,180,289,244,277,304,370,301,324,302
0:00:00,7.736667528427063,3.55787216976969,179.31059067765935,166.85984267781575,179.5360036312076,347,109,297,115,340,155,333,194,316,99,342,181,289,244,277,304,371,301,324,302
0:00:00,9.017350857819167,5.328176526039621,179.205649642629,167.06893433644345,179.69786429518632,347,109,298,116,340,155,333,194,316,100,342,181,289,244,277,304,371,301,324,302
0:00:00,9.017350857819167,5.328176526039621,179.15367860508144,167.26045436902902,179.86677025759587,347,109,298,116,339,155,333,194,316,100,342,181,290,243,277,304,371,301,324,302
0:00:00,9.01735085781911,5.328176526039621,179.10695961315236,167.42690885815634,179.89069546983922,348,109,299,116,339,155,333,193,317,101,342,181,290,243,277,304,371,300,324,302
0:00:00,7.874237655517106,3.55787216976969,178.98240948442867,167.6922445389987,179.54897956790555,348,110,299,116,339,155,333,193,317,101,342,182,290,243,277,305,371,300,324,302
0:00:00,7.874237655517106,3.672329847256436,178.97222133264626,167.91467377639535,179.35262643611466,348,110,299,116,339,156,333,193,318,101,342,182,290,244,277,305,371,300,324,303
0:00:00,6.725483295877154,5.328176526039552,179.13735805808093,167.90743254487742,179.49042862247134,349,111,300,116,339,157,332,194,318,101,343,182,290,244,277,305,371,301,324,303
0:00:00,6.725483295877154,3.5578721697695883,179.24182156462683,167.9203525832702,179.3793835206031,349,111,300,116,339,158,332,194,318,102,343,183,290,244,277,305,372,301,325,303
0:00:00,6.725483295877154,3.5578721697695883,179.3218763502208,167.92280524189061,179.29600850374044,349,111,300,116,339,158,332,194,319,102,343,183,291,244,277,305,372,301,325,303
0:00:00,5.571985270816469,3.5578721697695883,179.3663631270599,168.0028570947748,179.3336628495321,349,112,300,116,339,159,332,194,319,102,343,183,291,244,277,305,372,302,325,303
0:00:00,5.571985270816469,3.5578721697695883,179.3821537136838,168.07789305936856,179.3723076555686,349,112,300,116,339,159,332,195,319,102,343,183,291,244,277,305,372,302,325,303
0:00:00,5.571985270816469,1.7806705055252983,179.38526279291133,168.1885457912269,179.35983503754863,349,112,300,116,339,159,332,195,319,102,343,184,291,244,278,304,372,302,325,303
0:00:00,4.4870909151514695,1.7806705055252983,179.3991302060043,168.2035848660773,179.27719245364966,349,113,301,116,339,160,332,195,320,103,343,184,291,243,278,304,372,302,325,303
0:00:01,4.414664016391981,1.7806705055252983,179.3430091584015,168.2490012723665,179.1877680427511,350,113,301,116,339,160,332,195,320,103,343,184,291,243,278,304,372,302,325,303
0:00:01,3.2544586688502477,1.7806705055252983,179.19803814960517,168.31678767605388,179.2261986701596,350,114,301,116,339,159,332,195,321,103,343,184,291,243,278,304,372,302,325,303
0:00:01,3.2544586688502477,1.7806705055252983,178.92300155517054,168.45724144746237,179.42192480134554,350,114,301,116,339,159,330,195,321,104,343,184,291,243,278,304,372,302,325,303
0:00:01,3.208003911409378,1.8380722988093936,178.39583334960722,168.77452089881956,178.2233468336005,350,114,300,116,338,159,326,196,321,104,342,184,291,243,278,304,372,302,325,303
0:00:01,2.0690667818510917,1.8380722988093936,177.68744218441518,169.1705775946959,176.91251640504396,350,115,300,116,336,159,321,196,322,105,342,184,291,243,278,305,372,302,325,304
0:00:01,2.092322594514485,1.83807229880959,177.1220652479491,169.31729401563945,174.35753522997362,349,116,300,117,335,159,317,196,322,106,341,184,291,244,277,306,372,302,325,304
0:00:01,0.929218745381803,1.83807229880959,176.73570226411718,169.45310876080228,173.7474465817804,348,116,300,116,331,157,307,194,323,106,341,184,291,244,277,306,372,303,325,304
0:00:01,3.2544586688501056,1.83807229880959,176.63158962749947,169.17290982352336,168.71099215430135,347,117,298,115,327,156,295,192,323,106,341,184,291,244,278,306,372,303,325,304
0:00:01,4.562587559744884,1.83807229880959,176.57004556721057,168.85730288057547,163.83441819086173,345,118,298,115,322,156,287,185,323,107,341,184,291,243,278,306,372,303,325,304
0:00:01,5.768620972015924,1.83807229880959,176.4869792978951,168.9764657548115,158.51161066338702,344,119,297,115,318,155,277,178,322,109,341,184,291,243,278,305,372,303,325,304
0:00:01,7.378824696039487,0.0,176.39476132126217,169.34540093226457,167.60505369122842,342,120,298,115,301,151,262,170,321,109,341,185,291,242,278,305,373,303,325,304
0:00:01,8.654298442555358,1.7806705055252983,176.5289644180215,169.53472971505025,148.90800691962144,342,120,298,114,302,147,258,156,321,109,341,185,291,242,278,305,373,303,325,304
0:00:01,7.527494155467963,1.7806705055252983,176.7624545309617,169.5596649556207,134.85496423288438,341,119,298,114,294,144,249,143,321,109,341,185,291,242,278,305,373,304,325,305
0:00:01,7.527494155467963,1.7806705055252983,177.43366482970245,169.63373656569823,131.90265156592065,341,118,298,113,291,142,245,138,319,106,341,185,291,242,278,305,373,304,325,304
