video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,10.499286370653152,1.4612182857354925,177.1818261757724,162.55866109284705,170.92819030411982,329,96,270,106,325,142,310,181,292,86,324,176,271,242,255,307,347,305,301,306
0:00:00,11.435710052664632,1.4996538834164796,177.42432726811884,162.6535708925379,170.94944257462947,329,96,270,107,325,142,310,181,292,86,323,176,270,242,255,307,347,305,301,306
0:00:00,11.435710052664632,1.4612182857357394,177.47837124624007,162.69860717845594,171.0178173032831,329,96,270,107,325,142,310,181,292,86,323,176,270,241,255,308,347,305,301,306
0:00:00,11.264445886266742,0.0,177.50229178956488,162.7234650350655,171.1129535438312,329,96,269,107,325,142,310,181,293,86,323,176,270,241,255,308,347,305,301,306
0:00:00,11.264445886266742,0.0,177.53668148175285,162.62722710697955,171.269791462977,329,96,269,107,325,142,311,181,293,87,323,176,270,241,255,308,347,305,301,306
0:00:00,11.264445886266742,0.0,177.56329489477412,162.47338222457472,171.47705767780872,329,96,269,107,325,142,311,181,293,87,323,176,270,241,255,308,347,305,301,306
0:00:00,11.264445886266742,0.0,177.58025709152926,162.34526330642424,171.64372457159467,329,96,269,107,325,142,311,181,293,88,323,176,270,241,255,308,347,305,301,306
0:00:00,12.18076565682503,1.4612182857357394,177.54365604530935,162.30648778735429,171.6860618351334,329,96,269,108,325,142,311,181,292,89,323,176,270,241,256,308,347,305,301,306
0:00:00,12.18076565682503,1.4612182857357394,177.4554976922095,162.34998776753147,171.78204199962437,329,96,269,108,325,142,312,181,292,89,323,176,270,241,256,308,348,305,302,306
0:00:00,12.36643275261531,1.4612182857357394,177.46280676466577,162.39875199018377,171.85161987631417,328,96,269,108,325,142,312,182,292,90,323,176,270,241,256,308,348,305,302,306
0:00:00,12.36643275261531,1.4612182857357394,177.48227837806238,162.43979978421808,171.97368804305827,328,96,269,108,325,142,312,182,292,90,323,176,269,241,256,308,348,305,302,306
0:00:00,11.435710052664632,0.0,177.4747370903411,162.53963686380297,172.06495083424127,328,97,269,108,325,142,312,182,292,90,323,177,269,241,256,308,348,305,302,306
0:00:00,11.435710052664632,0.0,177.42193250258603,162.6440158135878,172.05040342529094,328,97,269,108,325,142,312,182,292,91,323,177,269,241,256,308,348,305,302,306
0:00:00,11.435710052664632,0.0,177.30878093990748,162.74936431023968,172.11253150462917,328,97,269,108,325,142,312,182,291,91,323,177,269,241,256,308,348,305,302,306
0:00:00,11.435710052664632,1.499653883416239,177.1537798028371,162.9010278016287,172.20152216535,328,97,269,108,325,142,312,183,291,91,322,177,269,241,256,308,348,305,302,306
0:00:01,11.435710052664632,1.499653883416239,177.1148228157896,162.8584435318236,172.37482290281486,328,97,269,108,325,143,312,183,291,91,322,177,269,241,256,308,348,305,302,306
0:00:01,11.264445886266742,1.499653883416239,177.11768366671066,162.77961807258052,172.97940624190258,328,97,268,108,324,143,312,183,291,91,322,177,269,240,256,307,348,305,302,306
0:00:01,11.264445886266742,1.499653883416239,177.17300610951727,162.82024066863232,174.05014773327252,328,97,268,108,323,144,311,184,291,91,322,177,269,240,256,307,348,304,302,306
0:00:01,10.34269335801551,1.499653883416239,177.15342423926475,162.73886980098428,174.690682790537,328,98,268,108,322,144,310,186,291,91,322,177,268,240,256,307,348,304,302,306
0:00:01,10.34269335801551,1.499653883416239,177.047662241424,162.61331339960387,174.0810845989889,327,98,267,108,322,144,309,186,292,91,322,177,267,240,256,307,348,304,302,306
0:00:01,9.704064619507761,1.499653883416239,176.86980768700496,162.59467621853483,176.19345344017825,325,99,267,108,318,145,307,188,291,90,322,177,267,240,256,307,348,304,302,306
0:00:01,6.705969431524807,0.0,176.78265509602568,162.34740551220335,175.65240001830298,325,101,266,107,316,148,304,188,291,91,321,177,267,239,256,308,348,304,302,306
0:00:01,6.705969431524807,0.0,176.71924340310562,162.56891226891028,175.12684222516356,324,102,265,108,312,150,295,192,290,91,321,177,266,241,256,308,348,304,302,306
0:00:01,3.926453257205395,0.0,177.2907660173315,163.44170792567743,176.65457651258896,322,104,265,107,307,152,289,195,289,92,321,179,265,241,256,308,348,304,302,306
0:00:01,2.8939575023537145,1.6281284968095155,177.53915206137282,163.849324645428,176.06151340620136,322,105,264,107,305,154,284,198,289,93,321,181,265,240,256,308,348,305,302,306
0:00:01,0.929218745381803,3.253604597157089,177.79314591520026,164.36422711999904,175.1718286129975,320,106,264,106,301,153,276,196,289,92,321,181,265,241,256,308,348,305,302,306
0:00:01,1.965468204541736,1.6281284968092937,177.98784252715933,165.5695772882515,168.6203318828109,319,105,264,104,300,153,272,190,289,93,320,183,265,243,256,308,348,305,302,306
0:00:01,5.22296552259715,1.6759874276287108,178.20952213512888,166.4362858806003,173.07520976467458,317,107,264,103,290,152,262,187,289,92,319,183,265,243,256,308,348,305,302,306
0:00:01,9.798123940072458,1.6281284968095155,178.3317022184754,167.1173590440411,173.4848792796433,315,110,264,102,286,152,254,186,289,92,319,183,265,244,256,308,348,305,302,306
0:00:01,14.893002543613022,0.0,178.87814033364882,167.85791755718597,174.58037053423635,313,113,265,101,277,152,243,182,289,91,318,184,265,244,256,308,348,305,302,306
0:00:01,15.474615010768446,0.0,179.31997885362054,168.42520772465144,172.50668728265637,311,114,265,102,273,150,237,176,289,91,317,183,264,243,256,307,348,305,302,306
