video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,12.180765656824974,5.681113191996162,179.9971975495861,162.52135490504006,172.07927930014415,341,126,291,136,339,169,328,204,311,121,334,189,294,251,281,306,361,305,321,305
0:00:00,11.965672338170663,7.55543734091042,179.7916749622432,162.26807102244481,172.39540889087152,341,126,290,136,338,169,328,205,311,123,334,189,294,251,281,306,361,303,321,304
0:00:00,11.965672338170663,9.413474612633724,179.62594439861758,162.19689622373363,172.67561672120476,341,127,290,137,338,170,328,205,311,124,334,189,294,251,281,306,361,303,321,304
0:00:00,11.965672338170663,7.55543734091042,179.54227650617406,162.21103543890692,172.8654831538351,341,127,290,137,338,170,327,205,311,124,334,190,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,9.413474612633724,179.45944280360155,162.2126353332454,172.8874306855277,341,127,290,137,338,170,327,205,310,124,334,190,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,9.413474612633763,179.4369033347708,162.26751166187967,173.05742745639603,341,127,290,137,337,170,327,205,310,124,335,190,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,9.413474612633763,179.37839627332588,162.30755286839698,173.22439132555388,341,127,290,137,337,170,327,206,310,124,335,190,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,9.413474612633763,179.29058468441806,162.25806985108972,173.31373699623245,341,127,290,137,337,170,327,206,310,124,335,190,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,9.413474612633763,179.2517317335961,162.2584969862683,173.49699915078176,341,127,290,137,337,170,327,206,310,124,335,190,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,7.55543734091042,179.20755184987684,162.26036249583564,173.63828091331405,341,127,290,137,337,170,327,206,310,124,335,191,294,251,281,306,361,302,321,304
0:00:00,11.965672338170663,7.812771935680716,179.1438467199755,162.33846744222595,174.1025041094458,341,127,290,137,337,169,327,206,310,124,335,191,294,251,281,306,361,302,321,304
0:00:00,13.03784391438009,7.812771935680716,178.91582154802575,162.428956150154,174.75082746606628,341,126,290,137,337,169,328,206,310,124,335,191,294,251,281,306,361,302,321,304
0:00:00,13.03784391438009,7.812771935680716,178.8501015395851,162.46796938659332,175.96287423410436,341,126,290,137,337,168,329,205,310,124,335,191,294,251,281,306,361,302,321,304
0:00:00,13.03784391438009,8.38346625713899,178.67703131997288,162.7011489208736,176.4584639324019,341,126,290,137,337,168,329,205,310,123,334,191,294,251,282,306,361,302,321,304
0:00:00,14.101386775547951,8.38346625713899,178.58338520152,162.74363705026482,176.7123683883993,341,126,290,138,337,168,329,205,310,124,334,191,294,251,282,306,361,302,321,304
0:00:01,15.155673495289903,8.38346625713899,178.57547113975104,162.9501951471218,176.9920144022788,341,125,290,138,337,168,329,205,310,124,334,191,294,251,282,306,361,302,321,304
0:00:01,15.155673495289903,8.38346625713899,178.547562144297,163.01683960869653,177.2980611487074,341,125,290,138,337,167,330,205,310,124,334,191,294,251,282,306,361,302,321,304
0:00:01,14.101386775547951,8.38346625713899,178.4186196091223,163.26696114275498,178.43766172300448,341,125,290,137,336,167,330,205,310,124,334,191,294,251,282,306,361,302,321,304
0:00:01,14.101386775547951,8.088132112437325,178.23808039515367,162.88168359626562,178.7983976853471,341,125,290,137,336,167,330,206,309,124,334,190,293,251,282,306,361,302,321,304
0:00:01,14.101386775547923,7.812771935680669,178.10513151465977,162.7449509842927,179.3157840354721,340,125,289,137,335,167,330,206,309,125,334,190,293,251,282,307,361,302,321,305
0:00:01,14.101386775547923,7.812771935680669,177.89845019585934,162.40160586475622,179.82719987037055,340,125,289,137,334,167,329,206,308,125,334,190,293,251,282,309,361,302,322,306
0:00:01,13.03784391438009,9.413474612633724,177.5760519492751,162.3160882194037,178.95254135080012,340,125,289,136,333,167,328,206,308,125,334,189,293,252,279,313,361,303,320,308
0:00:01,11.965672338170663,7.55543734091042,177.53719054046775,162.12748694947106,179.37180250761125,339,125,288,135,332,167,325,207,307,125,334,189,293,252,279,312,361,303,320,308
0:00:01,11.080516224560057,7.55543734091042,177.33763256243583,162.53052501475102,179.2364260646734,338,125,288,134,329,167,320,207,307,124,334,189,293,252,279,310,361,303,320,307
0:00:01,10.153952325971915,6.0839333410007095,177.756944269243,164.34465051742376,179.91123561620532,337,125,288,133,325,167,314,207,307,123,334,193,293,251,279,309,362,304,320,307
0:00:01,9.017350857819167,3.9248198901596734,178.5187635165687,165.06021169818973,176.8708293494973,336,125,287,132,323,167,307,207,306,123,334,195,292,252,279,309,362,304,320,306
0:00:01,6.970327150788961,3.9248198901596734,178.62019123066247,165.31725851187394,170.40790552031413,334,127,287,132,321,168,296,207,305,122,334,195,291,252,279,309,362,304,320,306
0:00:01,4.723604080603764,3.9248198901596734,178.6108821154773,165.69073154048783,172.57944059516365,332,128,287,131,315,168,290,204,304,122,334,195,291,252,279,309,362,303,321,306
0:00:01,2.2545612455785147,1.9647387569719397,179.1362171266893,167.26304452457308,171.79024243439125,330,129,287,128,308,168,281,199,303,122,333,196,291,253,279,309,362,303,321,306
0:00:01,3.7075042700479344,1.9647387569719397,179.38135995140715,167.93812642404805,166.38603683896034,328,129,287,127,302,166,269,192,303,120,333,196,291,253,279,308,362,303,321,306
0:00:01,8.386380321603042,1.9647387569719397,178.49549821976885,168.60493677587192,166.33668441374996,326,131,288,126,292,165,260,186,301,120,333,196,291,252,280,308,362,302,321,305
0:00:01,12.843526485338856,1.9647387569719397,177.77671419803815,170.06641010543834,160.04415299314607,323,131,290,124,288,162,254,176,300,120,333,196,291,252,280,308,362,302,321,305
