video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,9.855525733356671,3.2536045971572,178.13630475433288,163.93472853372967,177.3729811260254,345,89,288,98,336,136,325,172,310,74,338,167,293,236,275,300,362,303,319,301
0:00:00,9.70406461950779,3.3490818947962238,178.2940979976669,163.90851135423992,177.24027484896368,346,89,288,98,336,138,325,173,310,75,338,168,293,236,275,300,362,302,319,301
0:00:00,8.741990681062447,3.3490818947962238,178.45469064574687,163.91562656666903,176.99532167652916,346,90,288,98,336,139,325,173,310,75,338,168,293,236,275,300,362,302,318,301
0:00:00,8.741990681062447,3.3490818947962238,178.57072623043481,163.90789279587474,176.87781754799155,346,90,288,98,336,139,325,173,310,76,338,168,293,236,275,300,362,302,318,301
0:00:00,7.775416672695712,3.3490818947962238,178.67722453044783,164.00574346245105,177.14426894107666,346,91,288,98,335,140,325,173,310,76,338,168,293,236,275,300,362,302,318,301
0:00:00,7.775416672695712,3.3490818947962238,178.725704513998,164.05477248477925,177.17625893369578,346,91,288,98,335,140,325,173,310,77,338,169,293,236,275,300,362,302,318,301
0:00:00,7.775416672695712,3.3490818947962238,178.7523320693002,164.03552557626742,177.271636028116,346,91,288,98,335,140,325,173,310,77,338,169,293,236,275,300,362,302,318,301
0:00:00,7.775416672695712,3.3490818947962238,178.78001863806176,164.1389308925959,177.20380721010815,346,91,288,98,335,140,325,173,310,77,338,169,293,236,275,300,362,302,318,301
0:00:00,7.775416672695712,3.3490818947962238,178.81040030566294,164.227332729729,177.35448871335186,346,91,288,98,335,141,326,173,310,77,338,169,293,237,275,300,362,302,318,301
0:00:00,7.775416672695712,1.6759874276282802,178.82705597217074,164.26729523098626,177.42715984755932,346,91,288,98,335,141,326,173,310,77,338,170,292,237,275,300,362,302,318,301
0:00:00,7.775416672695712,1.6759874276282802,178.84147326848768,164.28670721758465,177.47843153978326,346,91,288,98,335,141,326,173,310,77,338,170,292,237,275,300,362,302,318,301
0:00:00,8.741990681062447,1.6759874276282802,178.86425605801543,164.30333271168757,177.5351918379506,346,91,288,99,335,141,326,173,310,77,338,170,292,237,275,300,362,302,318,301
0:00:00,8.741990681062447,1.6759874276282802,178.90408357468613,164.28436402923833,177.5376682519464,346,91,288,99,335,141,326,173,310,77,338,170,292,237,275,300,361,302,318,301
0:00:00,8.741990681062447,1.6759874276282802,178.9179835668954,164.267673620343,177.68211514515383,346,91,288,99,335,141,326,173,310,77,338,170,292,237,275,300,361,302,318,301
0:00:00,8.741990681062447,1.6759874276282802,178.95124431135037,164.2531362880571,177.83350483231976,346,91,288,99,335,141,326,173,310,77,338,170,292,237,275,300,361,302,318,301
0:00:01,7.775416672695712,1.6759874276282802,178.99327383718654,164.22789097454125,177.8743707618668,346,91,288,98,335,141,326,173,310,77,338,170,292,237,275,300,361,302,318,301
0:00:01,7.775416672695712,1.6759874276282802,178.9999261211049,164.20826303392968,178.0181752466903,346,91,288,98,335,141,326,173,309,77,338,170,292,237,275,300,361,302,318,301
0:00:01,7.660464365270144,0.0,179.0262095345464,164.15644150018838,178.69605804271845,346,91,287,98,335,141,326,173,309,76,338,170,292,237,275,300,361,302,318,301
0:00:01,7.660464365270144,1.726744315370138,179.13865167964403,163.9668084069419,178.93227936042396,346,91,287,98,335,140,327,172,309,76,337,169,292,237,275,300,361,302,318,301
0:00:01,7.660464365270144,1.6759874276284954,179.2233922206758,163.51549331857072,179.0347666480204,346,91,287,98,335,140,327,172,309,76,337,168,292,237,275,300,361,302,318,301
0:00:01,7.549291477541232,1.6759874276284954,179.35121857955397,163.25036072793154,179.53679720564693,346,91,286,98,335,140,327,172,308,76,337,167,292,236,275,299,361,302,318,301
0:00:01,6.705969431524807,3.3490818947963312,179.47633245585658,163.2625227340433,179.2020284098043,345,91,286,97,335,140,327,172,308,77,337,166,292,236,275,299,361,302,318,301
0:00:01,6.7059694315248635,3.3490818947963312,179.50007568188937,163.17078841132712,178.33474731003528,344,91,285,97,335,140,327,172,307,77,337,166,292,236,275,299,361,302,318,301
0:00:01,6.7059694315248635,3.45032512758016,179.4614849271468,163.020758446869,174.94163046495476,344,91,285,97,334,139,324,168,307,77,336,166,290,236,275,299,361,302,318,301
0:00:01,5.748212809622714,3.3490818947963312,179.49824578860728,162.89716681413606,175.1055171702745,343,91,284,96,333,139,321,171,306,77,336,166,290,236,275,299,361,302,318,301
0:00:01,5.916453171118093,3.3490818947963312,179.18921503258719,163.06733007880035,172.39670691703972,341,91,284,96,332,138,321,165,306,77,336,165,290,234,275,299,361,302,318,301
0:00:01,3.926453257205395,3.4503251275802644,179.0090850283495,163.07432440820824,165.54128456789655,340,92,283,95,331,138,313,165,305,76,335,165,289,234,275,300,361,302,318,301
0:00:01,2.92839858577571,3.3490818947963312,179.05633498622677,163.43351553191695,165.6535044355784,339,93,282,95,326,139,302,171,305,76,335,166,288,237,275,300,361,302,318,301
0:00:01,1.9291161686537066,3.3490818947963312,179.20094986431818,164.2756373894674,159.12743932320126,338,93,281,94,327,137,306,158,305,76,335,169,288,238,275,301,361,302,318,302
0:00:01,4.035231751103453,1.726744315370138,179.24831403623693,165.03566628418875,174.20825708146273,336,95,281,92,311,139,286,171,304,77,335,170,287,239,275,301,361,302,318,302
0:00:01,6.191990825082939,0.0,179.2555652978055,165.27329846589043,160.55389980499348,335,96,281,91,313,139,282,164,303,77,335,171,287,239,275,301,360,302,318,302
0:00:01,8.556444461433443,0.0,179.0750940689215,165.52558481292095,155.412429358392,333,97,281,90,307,140,275,159,303,78,335,171,286,239,275,301,360,302,318,302
0:00:01,10.153952325971915,0.0,178.7723147321409,165.95810679010754,139.1818467800959,331,98,282,90,307,141,269,154,302,79,335,172,286,239,275,301,360,302,318,302
0:00:01,12.6367559291985,1.726744315370138,178.543076249079,166.48124342124862,90.62208644718936,330,98,282,88,311,138,276,133,301,79,335,172,286,239,275,301,360,303,317,302
0:00:01,12.878689960211887,0.0,178.07928733864858,166.80876570479847,70.7221715097353,329,98,282,88,316,138,281,126,300,79,335,173,286,239,275,301,360,303,317,302
0:00:01,14.893002543613079,0.0,177.3129747376191,167.38822413163817,64.46941955702377,326,98,282,87,316,138,283,125,299,79,334,173,286,239,275,301,360,303,317,302
0:00:01,16.99021517996283,0.0,176.66626097491974,168.2347930878477,55.36416236861517,321,98,283,87,310,135,282,119,298,79,334,174,286,239,275,301,360,303,317,302
0:00:01,20.809165949664475,1.83807229880959,175.8922476482777,169.5317144749303,52.42471510401218,319,98,286,86,302,133,280,117,297,74,334,174,286,239,275,300,360,303,318,302
0:00:01,19.269000345990406,3.672329847256534,175.37980887325025,169.55951771998565,61.82106726092517,316,96,286,86,287,126,272,113,296,72,334,174,286,240,275,300,361,303,318,302
0:00:01,16.27176583416673,3.672329847256534,174.4754482005262,169.93060899423676,81.56010631083714,315,94,286,86,280,116,262,103,296,70,334,175,286,240,275,300,361,303,318,302
0:00:01,16.105585546984514,4.0645254927614705,173.877873700895,171.1146889354932,81.30434647990303,310,93,288,87,273,109,255,91,296,65,333,175,286,240,275,300,361,303,318,302
0:00:01,9.630230463911886,4.0645254927614705,173.31985326079902,170.53413281128877,88.91447741975459,313,91,287,87,275,101,259,82,296,66,333,175,286,241,275,300,361,304,318,302
0:00:01,8.322263363268775,5.167613570442465,173.9075937184429,171.865684774195,91.09186448432487,311,90,288,87,280,98,264,79,296,67,331,175,287,241,275,300,359,304,317,302
0:00:01,159.55007179457738,7.55543734091042,169.26548058964374,178.8745838007697,75.42234328159651,296,90,304,87,274,96,264,75,296,68,328,175,289,241,275,300,359,304,317,302
0:00:01,171.61653374286107,175.72169935982188,175.70293570984708,171.65754570353283,108.21068233195155,286,90,313,86,267,88,261,65,296,68,312,177,337,243,360,304,278,304,319,304
0:00:02,156.16121321398396,179.0707812546182,172.75316403567558,176.94425337865556,116.99148337684966,296,89,305,85,275,88,264,73,293,68,317,177,304,242,291,304,346,304,318,304
0:00:02,171.616533742861,170.14447426664336,175.43045064241323,171.34683438496307,70.03674368516882,285,89,312,85,272,92,270,74,293,68,312,179,338,244,359,304,278,303,318,304
0:00:02,167.0724656609285,167.81923434317503,174.2348100934692,169.82649485833943,78.69293816653494,286,90,312,84,264,91,271,63,291,69,313,179,340,245,362,304,275,303,318,304
0:00:02,167.2618337349839,162.45774396937978,172.43462061126064,167.7418331705171,78.98481885713007,289,90,311,85,269,91,274,64,292,69,316,179,340,245,362,305,274,303,318,304
0:00:02,166.03621620176875,160.7309996540096,170.7619351705462,166.30969674501426,69.82998562121028,290,91,310,86,276,94,278,71,293,70,317,179,340,246,362,305,274,303,318,304
0:00:02,153.57208628695406,163.20770069132686,170.77048784660795,165.5284590639926,55.94190441061713,295,93,309,86,281,100,277,82,292,71,318,179,341,246,362,305,274,303,318,304
0:00:02,20.48158334936187,4.06452549276156,174.47748937028248,175.0112376515181,81.77669800025348,313,93,299,88,292,114,278,108,294,70,332,179,293,242,279,303,356,303,318,303
0:00:02,4.092633544387581,2.0348494227212552,177.1059652279516,167.26284032505944,58.817839953032724,324,95,288,93,321,130,288,118,297,70,339,179,290,241,276,301,360,303,318,302
0:00:02,4.64135305544184,1.726744315370138,179.3645607097222,163.31737005962003,70.19206505240014,332,95,286,98,335,134,298,128,297,71,342,179,292,241,275,301,360,302,318,301
0:00:02,7.874237655517106,3.3490818947962238,178.68744611702098,161.30967174316365,78.90087258810827,336,95,287,101,341,136,307,133,298,74,344,178,296,241,275,300,360,302,318,301
0:00:02,15.919918451194206,6.307461606912107,179.06693270959707,158.3824458094129,127.45831411880488,338,88,286,102,342,130,309,146,298,78,347,174,299,242,275,300,362,302,318,301
0:00:02,19.269000345990378,9.413474612633724,179.17925365785328,156.91480931172984,140.7624182397725,339,84,285,102,342,127,320,143,301,88,347,172,308,243,277,298,362,302,319,300
0:00:02,26.43785732934049,5.167613570442465,176.1411632088458,157.8496008717449,163.92163886808135,337,80,287,104,342,125,331,154,302,85,345,170,314,243,279,296,362,302,321,299
0:00:02,26.869964833768904,7.812771935680716,178.6252571438101,156.79106394457955,136.02169290591803,335,82,288,105,349,124,331,139,304,85,348,172,318,243,280,296,361,302,321,299
0:00:02,27.357132458427742,8.08813211243737,179.18133568811254,156.56589868594094,21.083432008785884,335,83,289,106,358,120,358,113,305,79,347,172,321,242,281,296,359,302,320,299
0:00:02,19.92414390874717,8.08813211243737,178.41697596332497,165.12016041230575,23.720004269668216,332,91,306,100,356,116,352,93,310,76,346,172,324,241,281,295,357,302,319,298
0:00:02,90.4646093726909,16.30493217788712,177.58773290385028,171.77204278954807,125.66868877220864,321,94,321,98,347,93,357,85,318,74,346,172,325,241,282,294,356,301,319,298
0:00:02,176.07518010984043,20.928908527638484,177.37670301609228,179.7559599491161,153.49788737700683,308,93,337,95,317,91,343,75,325,74,344,172,326,241,282,293,356,301,319,297
0:00:02,180.0,26.42791371304595,176.23549818953597,178.10705776572772,175.53743206264264,312,93,333,93,318,90,345,71,321,76,344,172,329,241,281,292,356,301,318,297
0:00:02,37.60878194659898,18.33978160060861,174.58017810608695,171.5980879519619,164.1444438072607,327,90,323,93,337,82,346,63,331,77,348,172,328,240,281,292,355,302,318,297
0:00:02,12.180765656824974,15.863080563291323,172.69685246111112,171.45048314832954,176.50666534898622,328,90,323,91,326,80,325,60,332,76,349,171,329,238,281,291,355,302,318,296
0:00:02,18.364314415458352,10.564833149754605,170.2441057822094,168.79680050466666,124.49973290567995,339,83,320,89,335,82,326,65,338,75,351,170,330,237,281,290,355,302,318,296
0:00:02,12.96153873907835,10.564833149754605,169.1365434754825,167.82690334215027,179.98780461811182,335,84,321,87,326,75,310,59,333,73,353,167,331,235,281,288,355,302,318,295
0:00:02,174.31888680800378,12.927534339071475,169.3801607742226,173.16798852376596,163.26427392542018,322,85,332,84,315,76,309,53,333,69,352,167,331,236,281,288,355,302,318,295
0:00:02,167.96768000630342,26.42791371304595,170.48478910001822,179.2002951033713,147.78941216150457,316,90,344,84,302,78,301,51,333,70,350,167,332,236,282,288,355,302,318,295
0:00:02,128.9248430794334,13.963783798231262,169.10375333996612,174.86151934697136,165.3581973674954,334,90,338,85,309,72,289,46,331,74,353,167,334,236,283,288,355,302,319,295
0:00:02,108.80439097329949,13.963783798231262,169.42893207838307,175.1353251787706,147.52771808910882,335,90,338,81,293,74,277,53,329,75,353,167,334,236,283,287,355,302,319,295
