video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,16.95945425472462,6.0839333410007095,167.20336216408836,162.28927778758975,179.80101816805137,300,106,255,119,298,149,296,187,272,101,294,174,257,238,242,298,311,297,276,298
0:00:00,17.304261589018438,2.0348494227216096,167.83130149420597,163.1262914030653,179.26142934349468,299,106,255,119,298,149,297,187,271,100,294,177,257,239,242,299,311,297,276,298
0:00:00,17.304261589018438,4.06452549276156,168.18071386310103,163.50393867662942,179.0962561328635,299,106,255,119,298,149,298,188,270,97,294,177,257,240,242,300,310,297,276,298
0:00:00,17.304261589018438,3.924819890159581,168.39581409357694,163.505303130603,179.00687176117802,299,106,255,119,298,149,298,188,270,98,294,177,257,240,242,300,310,296,276,298
0:00:00,17.304261589018438,3.924819890159581,168.24640505718014,163.60872797751568,178.9538842538793,299,106,255,119,298,149,298,188,270,98,294,177,256,240,242,301,310,296,276,298
0:00:00,17.304261589018438,3.794385335221885,168.0846087229966,163.6340222178791,178.96689747836294,299,106,255,119,298,149,298,188,270,98,294,177,256,240,242,301,310,296,276,298
0:00:00,16.95945425472462,3.924819890159489,167.92125558499805,163.69391794380013,179.00419079966173,299,106,254,119,298,149,298,188,270,99,293,177,256,240,242,301,310,296,276,298
0:00:00,16.95945425472462,3.924819890159489,167.53956474059277,163.94652518423268,179.00352299315347,299,106,254,119,298,149,298,188,270,99,293,177,256,240,242,301,310,295,276,298
0:00:00,16.95945425472462,3.9248198901596734,167.1842919141225,164.3034419029247,178.99845761319648,299,106,254,119,298,149,298,188,270,99,292,177,256,240,242,300,310,295,276,298
0:00:00,16.959454254724648,4.06452549276156,166.83588513102745,164.5713598581333,178.90429563670952,298,107,253,120,297,149,298,187,270,98,291,177,256,240,242,300,310,295,276,298
0:00:00,16.959454254724648,4.0645254927614705,166.56176018805266,164.92489714216035,179.09074134243946,298,107,253,120,297,148,297,187,270,98,290,177,256,240,242,300,310,295,276,298
0:00:00,16.959454254724648,3.924819890159581,166.6440374523482,165.12989997791922,179.55765759826912,297,107,252,120,297,148,297,187,270,98,290,177,256,240,242,300,310,295,276,298
0:00:00,17.304261589018438,6.083933341000768,167.04824740400161,165.6408336847366,179.86998152218916,296,107,252,120,296,148,296,187,270,97,289,177,255,240,242,300,310,295,276,298
0:00:00,17.30426158901841,3.924819890159489,166.980928814895,165.89388551761328,179.6076149461172,295,107,251,120,295,148,296,187,270,97,289,178,255,240,242,299,310,296,276,298
0:00:00,16.95945425472462,3.9248198901596734,167.46803386252736,165.94027975018813,179.8379996945472,295,107,250,120,294,148,294,188,269,99,288,178,254,240,242,299,310,296,276,297
0:00:01,16.959454254724648,3.9248198901596734,167.4688119690684,165.64913309467337,179.63550233937218,294,107,249,120,294,148,294,188,269,103,288,178,254,239,242,298,310,296,276,297
0:00:01,16.628506656055805,3.924819890159581,168.2860164648498,165.4007803127007,179.01108196874057,294,107,248,120,292,148,292,188,268,103,287,178,254,239,242,298,310,296,276,297
0:00:01,16.31062063387452,3.924819890159581,168.76290960636234,164.79556675120983,179.72209077663447,293,107,246,120,291,148,291,188,266,107,287,178,254,239,242,298,310,296,276,297
0:00:01,15.17800016864868,3.924819890159581,168.5665875526921,165.1242134019166,179.9079434726287,292,108,245,120,290,151,288,190,264,108,286,178,253,239,242,298,310,296,276,297
0:00:01,14.033771148900342,3.924819890159581,168.35691608917526,165.5123380381838,178.8206907984043,290,108,243,119,286,153,284,190,262,106,285,179,253,238,242,298,310,296,276,297
0:00:01,12.404293922736287,3.924819890159489,167.96843544526075,166.22613939077922,178.9311051756556,290,108,241,118,284,154,281,191,261,106,284,180,252,239,242,298,310,296,276,297
0:00:01,12.404293922736258,3.924819890159581,167.33168586677573,167.0083417503232,178.7720590974407,288,108,239,118,282,154,275,193,259,107,282,180,251,239,242,297,310,296,276,297
0:00:01,10.342693358015481,4.0645254927614705,168.05793582736177,166.70346119200335,177.09004805042284,287,108,239,116,279,153,269,192,259,107,282,180,250,239,242,297,310,296,276,297
0:00:01,8.166667753384303,5.875651685793849,168.5333970445818,166.51926380018335,176.42087642288337,285,108,238,114,276,153,264,191,258,102,283,180,250,239,242,297,310,296,276,297
0:00:01,4.4870909151514695,5.681113191996226,169.63573811225234,166.0140536505202,173.30046345415454,285,109,237,112,272,153,254,188,258,102,284,180,249,240,242,297,310,297,276,297
0:00:01,0.929218745381803,3.794385335221981,170.29119222069718,166.0616131234957,175.20302425914625,284,112,238,112,262,154,239,188,256,103,285,181,248,240,242,297,310,296,276,297
0:00:01,6.096832315824315,1.8992967650602934,170.82526502903264,166.6026757325395,174.0898519142697,282,116,238,112,256,155,229,186,257,104,285,182,247,240,242,297,310,296,276,297
0:00:01,6.216328996105943,0.0,171.26565450096308,166.93140635354413,167.29178813318646,281,116,238,112,247,155,213,178,254,102,285,183,246,240,242,297,309,296,276,296
0:00:01,14.529950128349242,0.0,172.0263057379185,168.7581504527453,170.2933596559614,279,119,242,110,236,150,202,167,252,102,285,183,246,240,242,297,309,296,276,297
0:00:01,18.764588734563716,1.9647387569717563,172.97014689529982,169.74144335452525,148.38996748574513,278,120,244,109,234,146,193,151,252,105,285,184,246,241,242,298,309,296,276,297
0:00:01,16.55676345920233,1.8992967650601036,173.82130650462182,170.15720189422268,140.14265317000564,278,119,246,110,234,137,199,135,251,106,286,184,246,241,242,298,309,296,276,297
0:00:01,20.96157200358425,1.9647387569717563,175.2615846370013,170.7269046588749,131.69668266650118,277,118,247,107,235,130,202,122,250,104,286,184,246,240,242,298,309,296,275,297
0:00:01,17.542256030620223,1.9647387569717563,177.4413867149711,170.54067472011718,121.74922797270578,277,115,247,106,240,123,210,110,249,104,286,184,246,239,242,298,309,296,275,297
0:00:01,8.484656086292233,0.0,179.34369140051305,170.58308802178064,100.36766681436127,277,109,247,105,243,119,214,99,249,104,286,183,246,237,242,298,309,296,275,297
0:00:01,9.017350857819167,2.0348494227214324,178.92613063253884,171.0930660341558,76.21569409959275,276,98,248,102,244,113,224,90,241,99,286,181,246,236,242,298,309,296,275,297
0:00:01,11.366535329343407,2.110146604814005,177.34643703011207,171.39523147301512,60.62380212601102,277,98,250,103,245,112,236,81,242,98,286,181,246,237,242,298,309,296,275,297
0:00:01,12.180765656824974,2.110146604814005,175.8004596249002,172.21760584268154,60.163120014240434,277,98,252,103,246,109,244,74,244,98,287,181,246,237,242,297,309,296,275,296
0:00:01,15.388642225284428,2.1912276312077115,174.90393974776106,172.08667470322018,53.069810983780776,279,96,252,103,252,108,251,73,245,93,287,181,247,237,242,297,309,296,275,296
0:00:01,13.393348660196466,2.278785166027596,173.89375164898468,171.81176034311167,53.41641464673032,280,97,253,103,254,108,254,70,245,95,287,181,249,237,242,297,309,296,275,296
