video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,9.97256869000671,3.924819890159489,178.66774469202832,165.33028112101866,176.6055295908593,321,120,271,128,314,164,306,196,290,111,316,192,275,248,262,302,340,302,301,302
0:00:00,8.857687409859892,3.924819890159489,178.7447073825063,165.13648108297306,177.2671011286427,321,121,271,128,314,163,306,196,290,112,316,192,274,248,262,303,340,302,301,302
0:00:00,8.704167196235801,5.87565168579391,178.70843552907735,164.99472132849667,178.29207495729588,321,121,270,128,314,162,307,195,290,112,316,192,274,248,262,303,339,301,300,302
0:00:00,8.704167196235801,3.924819890159489,178.62237633417817,164.90026646740955,179.333407721113,321,121,270,128,314,162,307,195,290,113,316,193,274,248,261,303,339,301,300,302
0:00:00,8.857687409859835,5.681113191996226,178.4745867252158,164.6030978215585,179.77888168542975,320,121,270,128,313,161,307,194,289,113,317,193,274,248,261,303,339,301,300,302
0:00:00,8.857687409859835,5.681113191996226,178.3942824598838,164.4790316859974,179.13007074692183,320,121,270,128,313,161,307,194,289,114,317,193,274,248,261,303,339,301,300,302
0:00:00,9.972568690006653,3.794385335221981,178.40138988679703,164.46257407516714,178.72523249525253,320,121,270,129,312,161,307,195,289,114,317,194,274,248,261,304,339,301,300,302
0:00:00,9.972568690006653,3.794385335221981,178.39235337578475,164.43610277626007,177.97637755288008,320,121,270,129,312,161,307,195,288,114,317,194,274,248,261,304,339,301,300,303
0:00:00,9.972568690006653,5.681113191996226,178.52645605330056,164.30983635547656,177.52621921945612,320,121,270,129,312,161,307,194,288,114,317,194,273,249,261,304,339,301,300,303
0:00:00,9.97256869000671,5.681113191996226,178.60792849268785,164.11594999053693,177.2052684731804,319,121,269,129,311,161,307,194,288,115,317,194,273,249,261,304,339,301,300,303
0:00:00,9.97256869000671,5.681113191996226,178.6416853867764,164.04201698577236,176.85530356925454,319,121,269,129,311,161,307,195,288,115,317,194,273,248,262,303,339,301,300,302
0:00:00,11.080516224560057,5.681113191996226,178.65032092636537,163.8656035932093,176.58227142842327,319,121,269,130,310,161,307,195,288,115,317,194,273,249,262,303,339,301,300,302
0:00:00,11.080516224560029,5.681113191996226,178.61625465331747,163.70321713066375,176.47208342334164,318,121,268,130,310,161,307,194,288,115,317,194,273,249,262,303,339,301,300,302
0:00:00,11.080516224560029,5.499005185407407,178.62759189751665,163.50899538216564,176.49484328934264,318,121,268,130,310,161,307,194,287,115,317,194,273,250,262,304,339,301,300,302
0:00:00,12.404293922736287,5.681113191996226,178.82985341567746,163.5295333940885,176.3551150185076,317,121,268,131,310,161,307,194,287,115,316,194,273,250,262,304,339,301,300,302
0:00:01,12.404293922736287,5.681113191996226,179.2410005365825,163.5501858199787,175.99316864652153,316,121,267,131,309,161,307,195,287,115,316,194,273,251,262,304,339,301,300,303
0:00:01,12.404293922736287,5.681113191996226,179.44032388987418,163.51767520704936,175.76399063683027,316,121,267,131,308,161,307,195,286,115,316,194,273,251,262,304,339,301,300,303
0:00:01,12.636755929198557,5.681113191996226,179.8236039474151,163.64573707052512,175.65481759425512,315,121,267,131,308,161,307,195,286,115,315,194,273,250,262,304,339,301,300,303
0:00:01,12.6367559291985,5.681113191996226,179.99134092150368,163.55300480514003,175.39396488007264,314,121,266,131,308,161,307,195,286,115,315,194,273,250,262,304,339,301,300,303
0:00:01,12.404293922736287,7.5554373409103714,179.89159749081,163.27630021934613,175.63089583556857,314,121,265,131,307,161,306,195,285,115,315,193,273,250,262,307,339,302,300,304
0:00:01,12.6367559291985,7.812771935680716,179.83935810851676,163.11059668702077,176.44993958937926,313,121,265,131,306,161,303,196,285,115,314,193,273,251,260,313,339,302,299,308
0:00:01,11.49405189513638,7.555437340910468,179.93046155578963,162.9881301504165,175.48703281466916,312,122,264,131,304,161,302,197,284,115,314,193,272,251,259,312,339,302,299,307
0:00:01,10.539244303119261,7.812771935680669,179.76351791845573,162.68038560684303,179.43156945540667,311,122,264,130,302,161,294,197,283,115,315,193,273,251,259,309,339,302,299,305
0:00:01,8.322263363268775,7.812771935680669,179.91541945834507,163.53556024956566,178.39059498819574,310,123,264,129,298,163,285,199,282,115,315,194,272,253,261,307,339,302,300,305
0:00:01,5.982604011825771,5.87565168579391,179.97280637420323,164.02418589174877,174.4899896226403,309,124,264,128,296,164,277,200,282,115,315,195,272,253,261,306,339,302,300,304
0:00:01,3.578472232388833,5.87565168579391,179.98078870607694,165.28834492624088,174.37633939342598,308,125,265,127,291,164,268,200,281,114,315,196,272,253,261,305,339,302,300,304
0:00:01,5.1962300648955875,4.0645254927614705,179.80402757550544,167.0199791142001,176.22570078811813,306,127,266,124,284,164,264,193,281,114,314,197,272,253,261,304,339,302,300,303
0:00:01,10.34269335801551,1.9647387569719397,179.60535401468437,168.37474732742967,175.99266631915577,303,128,267,122,276,164,253,188,280,112,314,198,272,252,262,302,339,302,300,302
0:00:01,10.885534088851472,1.9647387569719397,179.5181047824783,169.10297114340122,175.20591392204605,302,129,268,123,267,161,240,182,280,111,314,199,272,252,262,301,339,302,300,302
0:00:01,17.348379227267458,0.0,179.74219759692713,171.752465005166,161.66995758255678,299,130,272,122,265,157,236,170,278,111,313,200,272,252,262,301,339,301,300,301
0:00:01,15.474615010768417,2.0348494227214324,179.32605409187244,173.0044578610834,149.0402242619203,296,129,273,123,263,152,231,159,279,109,312,201,272,252,262,301,338,301,300,301
0:00:01,17.542256030620223,0.0,177.70063062480716,174.27628947612328,137.18629370445495,295,129,275,123,263,149,231,150,279,107,311,201,272,252,262,301,338,302,300,302
0:00:01,17.234150923268913,0.0,175.33905424786957,175.61328135879302,120.46980875016341,294,128,277,123,260,144,229,138,277,108,310,201,272,252,262,301,338,302,300,301
