video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,14.252580054909146,9.81487642780756,175.73387393092568,153.42289815813288,174.7932894932188,311,131,269,141,310,165,305,192,284,131,310,182,279,226,275,271,315,266,295,269
0:00:00,15.529847551621202,7.7250796971735625,175.58733565789507,153.46278692146606,173.05672379942598,311,130,269,141,311,165,305,192,285,131,309,182,279,226,275,271,315,267,295,269
0:00:00,15.870049697513707,7.7250796971735625,175.441414745564,153.67216288719695,172.91588660080544,311,130,270,141,311,165,305,192,285,132,309,182,279,226,275,270,316,267,295,269
0:00:00,15.870049697513707,7.7250796971735625,175.29929627823233,153.92318951897764,172.8892325577284,311,130,270,141,311,165,305,193,285,132,309,182,279,226,275,270,316,267,295,269
0:00:00,15.870049697513707,7.7250796971735625,175.24053034486906,154.07456637538283,172.88325806844975,311,130,270,141,311,165,305,193,285,132,309,182,279,226,275,270,316,267,295,269
0:00:00,15.870049697513707,5.167613570442534,175.17734535284228,154.26674233525597,173.0167228591448,311,130,270,141,311,165,305,193,285,132,309,182,279,226,275,270,316,267,295,269
0:00:00,15.870049697513707,5.167613570442534,175.1698198386122,154.34258030159793,173.11974367290242,311,130,270,141,311,166,305,194,285,133,309,182,279,226,275,270,316,267,295,269
0:00:00,15.870049697513707,5.167613570442534,175.16508217310974,154.3399430167344,173.16596135269688,311,130,270,141,311,166,305,194,285,133,309,182,278,226,275,270,316,267,295,269
0:00:00,15.870049697513707,5.167613570442534,175.17584974549027,154.30482897780269,173.46970164763292,311,130,270,141,311,166,305,194,285,133,309,182,278,226,275,270,316,268,295,269
0:00:00,15.870049697513707,5.412247261537152,175.1470692617551,154.29019045653672,173.68922336985932,311,130,270,141,311,166,305,194,285,133,308,182,278,226,275,270,316,268,295,269
0:00:00,16.226092767018514,5.167613570442534,175.00024264176122,154.40129960214867,173.76869557056054,310,130,270,141,311,166,306,194,285,133,308,182,278,226,275,270,316,268,295,269
0:00:00,16.226092767018514,7.7250796971735625,174.83405776462232,154.59391341134867,173.9161339500673,310,130,270,141,311,166,306,195,285,133,308,181,278,226,275,270,316,268,295,269
0:00:00,15.870049697513707,7.7250796971735625,174.75274615365234,154.70695229842894,174.0051857962196,310,130,269,141,311,166,306,195,284,133,308,181,278,226,275,270,316,268,295,269
0:00:00,15.870049697513707,8.08813211243737,174.75200075008826,154.8277352350978,174.18353459104281,310,130,269,141,311,166,306,195,284,133,307,181,278,226,275,270,316,268,295,269
0:00:00,15.870049697513707,8.08813211243737,174.73142727623974,154.91515398621377,174.37370202156552,310,130,269,141,310,166,306,195,284,133,307,181,278,226,275,270,315,268,295,269
0:00:01,15.870049697513707,7.7250796971735625,174.76422113243785,154.95552865800923,174.57882139925036,310,130,269,141,310,166,306,195,283,133,307,181,278,226,275,270,315,268,295,269
0:00:01,16.226092767018514,7.7250796971735625,174.75806287825424,155.1626615338332,174.8948076986657,309,130,269,141,310,167,306,195,283,133,307,181,277,226,275,270,315,268,295,269
0:00:01,15.870049697513736,5.412247261537152,174.60858185256987,155.5528696293286,174.96178966685733,309,130,268,141,310,167,306,195,283,133,306,182,277,226,275,270,315,268,295,269
0:00:01,15.870049697513736,5.167613570442465,174.85929021992524,155.70841505256993,175.02084085644273,309,130,268,141,309,167,305,195,282,133,306,182,277,226,275,270,315,268,295,269
0:00:01,16.226092767018514,5.167613570442465,175.2332543953359,155.8246030930425,174.6244395159179,308,130,268,141,309,167,304,195,282,133,306,182,277,226,274,270,315,268,295,269
0:00:01,15.870049697513736,7.7250796971735625,175.34695544134092,155.3266709461935,174.06134852369271,308,130,267,141,308,167,302,195,281,132,306,181,277,227,274,270,315,268,295,269
0:00:01,14.565419943310417,7.7250796971735625,175.5523619602057,155.1085789964723,174.1536592103861,308,131,267,141,306,167,300,196,281,132,306,181,277,227,274,270,315,268,294,269
0:00:01,12.180765656825002,7.7250796971735625,175.5543017299266,155.83513612335568,174.2249866186407,306,131,266,139,304,167,298,195,280,132,306,181,277,228,273,270,315,268,294,269
0:00:01,12.180765656825002,7.7250796971735625,175.9005393187716,156.0101814161888,172.51071552644294,306,131,266,139,303,167,295,196,280,132,305,181,277,228,273,270,315,268,294,269
0:00:01,9.630230463911943,7.7250796971735625,176.5271996359245,155.6594367579837,170.95632007642712,305,132,266,138,302,167,292,196,280,132,305,180,277,225,273,270,315,268,294,269
0:00:01,6.755001677495244,7.393044617886972,176.58264945927985,156.23540632533306,168.3715950677619,304,133,265,137,300,168,287,196,280,132,305,179,277,225,273,270,315,268,294,269
0:00:01,3.926453257205395,7.7250796971735625,176.94697759366395,157.16356779189076,167.99420282272249,303,134,265,136,298,169,283,197,279,132,304,179,276,225,273,270,315,268,294,269
0:00:01,4.007304266812099,2.589126927029887,177.29187392474006,158.77678001313683,167.02527152312314,302,136,265,134,294,170,275,198,278,132,304,181,275,226,273,270,315,268,294,269
0:00:01,8.795562093860354,0.0,177.50566706396182,159.62154632201563,163.43730721547163,301,138,265,133,290,171,268,196,277,131,304,182,275,226,273,270,315,268,294,269
0:00:01,10.342693358015538,2.589126927029887,177.49764194254334,159.90553074753097,157.57955208410127,301,139,265,133,290,171,264,193,277,131,304,183,275,226,273,270,315,268,294,269
0:00:01,12.18076565682503,2.476701037317085,177.5987714818894,160.74915348584003,155.54316327792523,300,140,265,133,285,171,255,192,277,131,304,183,275,226,273,270,314,268,294,269
0:00:01,16.10558554698457,2.476701037317085,177.66251295068872,161.76976133589977,156.3906375033452,299,141,266,132,280,171,252,188,276,131,304,184,275,226,273,270,314,268,294,269
0:00:01,18.715619674446202,2.589126927029748,177.63563699159013,162.8024237089699,152.63515505204694,297,141,266,131,274,169,246,182,276,131,303,185,275,226,273,270,314,268,294,269
0:00:01,21.594240269458737,2.476701037317085,177.95349607028922,164.4087394071326,155.66084117590816,296,142,267,131,269,166,242,176,275,131,303,186,275,226,273,270,314,268,294,269
0:00:01,21.1474409100054,0.0,178.23768978658717,165.15515452543764,158.52079609383657,294,141,267,131,266,161,239,169,275,131,302,187,274,226,273,270,314,268,294,269
0:00:01,24.556110596714575,2.589126927029748,178.74586061086666,166.2208502715598,155.43066625361996,293,141,268,130,261,158,234,163,275,131,302,188,274,227,273,269,313,268,293,269
0:00:01,29.391981881149206,2.712236886788133,179.24021199619358,167.45421959280011,138.0708604337288,291,142,269,130,260,155,231,153,274,130,301,188,274,227,273,269,313,268,293,269
0:00:01,35.13208090928174,2.712236886788133,179.84615407142877,168.5893823339603,133.59157126400615,290,143,271,130,259,152,231,147,272,130,301,189,274,227,273,269,313,268,293,269
0:00:01,36.581866039017854,2.712236886788133,179.1708782374911,169.00952427775675,126.14866635227608,289,143,271,130,259,150,233,140,272,130,301,189,274,227,273,269,313,268,293,269
0:00:01,35.96500700494519,2.712236886788133,179.0164249428028,168.76667336357002,127.36245250983754,288,143,271,131,260,147,235,135,271,130,301,189,274,227,273,269,313,268,293,269
0:00:01,35.25959747507474,2.8476285561507684,178.66841773909385,169.7358498656361,116.85184402160772,289,142,273,131,263,146,238,130,271,130,301,189,274,227,273,269,313,268,293,269
0:00:01,34.445367147593146,2.8476285561507684,178.17533823250628,170.02236597901782,111.8110727101752,289,141,274,131,264,145,239,126,271,130,301,189,274,227,273,269,313,268,293,269
0:00:01,30.135417983093845,2.8476285561507684,178.0237427910243,169.87401169845668,107.70881904747662,289,140,273,131,265,143,243,123,271,130,301,189,274,227,273,269,313,268,293,269
0:00:01,26.000245965878747,0.0,177.58035990301627,169.28885797480046,102.5264988791124,290,139,273,131,265,142,247,121,272,131,301,188,274,227,273,269,313,268,293,269
0:00:01,30.135417983093816,0.0,176.86888633882145,168.25307821356722,106.4772087031142,290,139,274,130,265,141,249,121,272,132,303,188,274,227,273,269,313,268,293,269
0:00:02,27.357132458427714,0.0,176.72028172925064,167.569152081141,103.52101843935758,291,138,275,130,266,141,250,121,272,132,304,188,275,227,273,269,313,268,293,269
0:00:02,26.00024596587872,2.589126927029887,177.9332209574792,164.94142559885708,99.87319979154331,292,138,275,130,269,143,252,126,274,132,307,187,276,228,273,270,313,268,293,269
0:00:02,26.14454945505625,0.0,178.87082815759544,163.67993375016894,109.89050736003834,295,139,276,130,269,143,248,129,274,134,309,186,277,228,273,269,313,267,293,268
0:00:02,15.474615010768417,0.0,176.61956881811938,160.9433894613008,117.00740486330295,299,140,276,134,269,153,243,147,276,136,310,186,279,228,274,268,313,268,294,268
0:00:02,4.99374423814325,2.476701037317085,174.61479062876165,157.41802749827983,150.91343426980623,304,140,276,138,284,163,256,175,278,138,312,185,281,228,274,268,314,268,294,268
