video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,14.0337711489004,2.1912276312077115,160.9484465771152,138.93960084991747,163.0555714047865,347,135,300,146,351,182,334,220,327,136,337,171,309,201,312,211,334,225,323,218
0:00:00,10.885534088851472,2.1101466048141764,160.385943514734,142.72359245177188,163.0790020891641,350,138,299,147,352,187,334,222,326,137,339,178,307,210,314,235,336,237,325,236
0:00:00,9.468528770036897,2.0348494227216096,166.85904549251643,146.08389887486814,171.2782531932871,352,140,299,148,349,187,337,224,325,137,340,181,305,214,314,250,342,251,328,251
0:00:00,9.312685002520766,2.0348494227216096,169.66374623795585,147.85573608456406,173.58605666521197,352,141,298,149,347,188,336,224,325,136,340,183,305,220,313,255,346,256,329,255
0:00:00,9.312685002520766,10.072404795992078,166.9376474916594,148.82322310075432,174.46622969138986,352,141,298,149,347,188,335,225,324,136,340,186,304,222,312,264,343,262,327,263
0:00:00,8.14497000034018,8.088132112437416,171.18214281904847,153.44232124837782,175.54766985074068,353,142,298,149,346,189,335,224,324,136,340,193,304,238,310,282,344,282,327,282
0:00:00,9.162388712736487,3.924819890159581,178.24815704180418,161.08283949587133,175.89105433826336,353,142,298,150,346,188,335,225,324,136,340,204,302,259,296,300,353,299,325,299
0:00:00,9.017350857819167,1.8992967650602934,177.99719090516086,162.67996111049925,175.9041752408551,354,142,298,150,346,188,335,226,324,137,340,209,302,263,291,316,354,317,322,317
0:00:00,9.017350857819167,1.83807229880959,177.0200769828053,163.30634324059653,175.79847855702081,354,142,298,150,346,188,335,226,324,138,340,210,301,263,289,323,355,326,322,325
0:00:00,9.017350857819167,0.0,176.7777689275944,163.13906824392552,175.83969812847226,354,142,298,150,346,188,335,225,324,139,339,210,301,265,289,324,355,332,322,328
0:00:00,10.012262276905062,3.672329847256534,176.41326029232843,162.50633172333696,177.50294249746457,354,141,298,150,345,188,335,225,324,140,339,208,301,265,289,325,355,333,322,329
0:00:00,9.855525733356671,1.780670505525501,176.52550128979703,161.49699828309855,178.19705282763223,355,141,298,150,345,187,335,225,323,140,340,207,301,265,289,324,355,334,322,329
0:00:00,9.855525733356671,3.55787216976969,176.82445164883615,161.2363540441961,179.1202457244195,355,141,298,150,345,187,335,225,322,141,340,206,301,265,289,324,356,333,322,328
0:00:00,9.855525733356671,3.55787216976969,177.18864659469546,161.14973080042083,179.91479029222288,355,141,298,150,344,187,335,225,322,141,340,206,301,265,289,325,356,333,323,329
0:00:00,9.855525733356671,3.55787216976969,177.00780200146994,161.0670838870774,179.45249763236768,355,141,298,150,344,186,335,224,322,141,340,206,301,265,289,324,356,334,322,329
0:00:01,11.795636382485213,3.55787216976969,176.88604324647494,160.9867821338684,179.41736467243413,355,140,298,151,344,186,335,224,322,141,340,206,301,265,289,324,356,334,323,329
0:00:01,11.795636382485213,3.55787216976969,177.0157732828971,161.0336694002508,179.02775758979305,355,140,298,151,343,186,335,224,322,141,340,206,301,265,289,325,356,333,322,329
0:00:01,11.795636382485213,1.780670505525501,177.1921678599514,160.9999472928091,178.13605661391858,355,140,298,151,343,187,335,224,321,141,340,207,301,265,289,325,356,333,322,329
0:00:01,11.795636382485213,3.55787216976969,177.23462783238375,160.99366630154648,176.85310740973242,355,140,298,151,342,187,335,224,321,141,340,206,301,265,289,325,356,333,323,329
0:00:01,11.98489013919567,3.55787216976969,177.22003185270526,161.07956311481868,175.96470697695528,354,140,298,151,341,187,335,224,321,141,340,206,301,265,289,325,356,333,323,329
0:00:01,11.98489013919567,3.4503251275802644,177.20912626505586,160.96097320335508,175.30695483917097,354,140,298,151,340,187,335,224,320,141,341,206,301,265,289,324,356,333,323,329
0:00:01,11.98489013919567,3.4503251275802644,177.24319944073787,160.85407036137917,174.9679893972849,354,140,298,151,340,187,335,224,320,141,341,206,301,265,289,324,356,333,323,329
0:00:01,11.98489013919567,3.4503251275802644,177.20283386133758,160.77246013432568,174.83260466405602,354,140,298,151,340,188,335,224,320,141,341,206,301,264,289,324,356,333,323,329
0:00:01,11.98489013919567,3.4503251275802644,177.2367843840977,160.68415618822092,174.5484085200985,354,140,298,151,340,188,335,225,320,141,341,206,301,265,289,325,356,334,323,329
0:00:01,11.98489013919567,3.4503251275802644,177.31876669034395,160.7473805274,174.44828755977312,354,140,298,151,339,188,335,225,320,141,341,206,301,265,289,325,356,334,323,329
0:00:01,11.98489013919567,3.4503251275802644,177.36659048760228,160.8488211167962,174.19546655438842,354,140,298,151,339,188,335,225,320,141,341,206,301,265,289,325,356,334,323,329
0:00:01,11.98489013919567,1.726744315370138,177.4961186538246,160.79431776416345,174.47711937969453,354,140,298,151,339,188,334,225,320,141,341,207,301,265,289,325,356,333,322,329
0:00:01,12.180765656824974,1.726744315370138,177.4866530097082,160.94175694901816,174.67706898597754,353,140,298,151,339,188,334,225,320,141,340,207,301,265,289,325,356,333,322,329
0:00:01,11.180868233553042,3.45032512758016,177.53363194677044,161.13656654272452,175.11791754565996,353,141,298,151,339,190,334,225,320,141,340,207,301,266,289,327,356,333,322,330
0:00:01,9.01735085781911,1.726744315370138,177.62282564599502,161.06462691585475,175.73744508321624,353,142,297,150,338,190,332,225,320,142,340,208,301,266,289,327,356,333,322,330
0:00:01,8.017453434547207,3.45032512758016,177.94515430913003,160.8259485469876,177.70258498656983,352,143,296,150,337,191,327,228,319,142,340,207,301,266,288,327,356,333,322,330
0:00:01,7.236680352293774,1.726744315370138,178.36727360011741,160.41087216443768,178.20831521433854,350,144,296,150,334,191,324,230,319,142,340,207,301,266,287,327,356,332,322,329
0:00:01,5.143743891884412,1.726744315370138,178.58584860697837,159.08351904433457,178.20089367662823,349,145,295,149,333,191,317,229,318,142,340,204,301,262,287,325,356,331,322,328
0:00:01,2.0252374940651237,1.7806705055252983,179.75759720491118,159.01940711306514,175.17240064704163,347,148,295,147,331,192,312,228,318,143,341,204,300,261,288,325,355,330,321,328
0:00:01,6.610331937377936,1.83807229880959,179.72192541650733,159.9017462581383,171.10135282495793,345,149,295,144,328,192,308,221,318,143,341,204,299,262,288,325,355,330,322,328
0:00:01,8.017453434547207,3.794385335221981,178.40560689787287,160.57874301854054,162.9583244630093,343,149,295,143,328,189,303,213,318,142,341,204,298,262,288,325,355,330,322,328
0:00:01,9.537093291899282,0.0,177.2905393437261,162.14017297188485,152.3414828056944,341,148,295,141,328,187,301,206,318,142,341,206,298,262,288,325,355,330,322,328
0:00:01,10.744095173189322,1.8992967650602934,177.3044358460836,163.3829894225945,140.8292201671481,340,148,294,140,325,186,290,201,317,143,340,208,297,262,288,325,355,330,322,328
0:00:01,13.667385010397851,1.780670505525501,176.85000665667712,163.7638860088402,135.40535498390992,338,150,294,140,317,186,274,198,316,145,340,209,297,262,288,324,355,330,322,327
0:00:01,14.89300254361305,1.780670505525501,176.096909371315,164.6894536220036,143.47090800846516,336,149,296,139,305,179,269,188,312,148,340,209,296,262,288,324,355,330,322,327
0:00:01,10.34269335801551,3.794385335221981,175.23562639579083,166.4453251276604,121.67600929135523,333,144,297,138,307,173,265,176,312,148,338,209,296,262,288,324,355,331,322,327
0:00:01,15.67915958731254,3.672329847256534,174.9671959932618,168.00960045113337,128.75374458717107,333,144,299,135,300,166,268,166,312,150,338,209,296,262,288,324,355,331,322,327
0:00:01,18.764588734563716,3.794385335221981,174.70157210035708,169.70185152536135,133.7405995495487,334,144,300,133,299,163,271,162,310,149,337,210,295,262,288,324,355,331,322,327
0:00:01,16.2717658341667,5.681113191996226,173.69166921319956,170.53046755718418,92.51373879993318,331,141,302,133,300,160,270,146,304,149,337,211,295,262,288,324,355,332,322,328
0:00:01,22.981134656050415,7.55543734091042,173.19577997375163,171.3604531621817,81.00886393010182,330,142,303,131,301,160,275,141,302,142,337,212,295,262,288,325,355,332,322,328
0:00:02,20.481583349361898,7.55543734091042,172.7716626068227,171.3715521937615,87.98338140488737,330,141,302,131,300,154,271,130,301,139,337,213,295,263,288,325,355,332,321,328
0:00:02,11.82673294241161,7.812771935680762,172.65921191418053,170.7864414103831,90.56313337186924,332,137,301,131,302,153,272,134,302,136,337,213,295,263,288,325,355,332,321,328
0:00:02,9.764033035046367,5.87565168579391,172.55662855034737,170.37596462916306,81.45018086322665,333,136,301,131,304,154,278,135,303,132,338,213,295,263,288,325,355,332,321,329
0:00:02,9.764033035046396,5.875651685793849,171.99929277549955,170.12552972616228,86.47293737053427,335,136,303,131,304,151,279,133,304,132,339,213,296,263,288,325,355,333,321,329
0:00:02,2.8939575023537145,5.87565168579391,171.4706652958195,169.50162637053492,78.11196496298554,334,132,305,131,304,155,279,138,302,134,341,213,298,264,288,325,355,333,321,329
0:00:02,5.6682689630229675,5.87565168579391,172.0402657561708,169.7782278895504,82.66229666526414,334,133,310,131,305,156,279,142,303,135,344,213,301,263,288,325,355,333,322,329
0:00:02,21.59424026945871,7.314423978090318,173.27968927254517,166.65007641030994,86.19598991381848,340,147,311,136,311,169,283,155,310,140,349,214,304,264,290,323,355,332,323,328
0:00:02,15.67915958731254,5.167613570442465,175.29101748930844,163.82510677054447,110.59722545009397,345,147,311,138,318,174,279,171,320,140,352,213,308,264,292,322,356,331,324,327
0:00:02,6.755001677495244,3.3490818947962238,178.46978513753282,159.2757907449831,89.58744155040917,349,147,310,143,343,188,302,186,320,146,356,211,312,266,294,321,356,331,325,326
0:00:02,2.2244503133554474,0.0,179.72729338805115,154.5042691895454,156.87501232439334,353,147,309,148,342,186,310,214,324,150,359,209,318,268,294,321,357,331,326,326
0:00:02,10.539244303119233,7.812771935680669,178.0150228937605,148.3331125783569,172.2064269245487,356,146,309,154,354,188,342,228,326,150,361,204,325,268,295,322,357,332,326,327
0:00:02,26.35723503515578,5.875651685793971,174.50949796354718,150.41669150827937,176.42048713675987,357,135,311,157,365,183,366,221,330,149,362,209,328,271,295,323,358,332,327,328
0:00:02,35.74059871556665,5.875651685793971,174.83590064355928,154.46314793278412,177.52271547947922,355,124,315,152,366,165,379,203,332,139,362,209,333,270,296,323,359,331,328,327
0:00:02,37.60878194659898,9.043349944624948,176.50454974185456,158.3995875960677,178.03786631510027,353,126,321,150,375,156,382,168,336,135,362,211,337,272,296,323,359,331,328,327
0:00:02,49.18235933004652,9.413474612633687,175.85935993598721,162.26995652716712,137.379670093174,353,125,330,151,379,148,413,152,348,130,362,211,342,272,296,323,359,329,327,326
0:00:02,47.022256559232716,9.814876427807485,174.4398374846217,162.18521692532232,145.64416952437895,350,126,329,148,375,133,404,131,344,123,363,211,345,272,296,322,359,329,327,325
0:00:02,51.57256574483026,11.827284906806574,173.93648511359876,164.97827272158386,163.15859235286396,345,127,332,143,368,117,396,110,347,116,363,211,349,272,296,320,360,329,328,324
