video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,8.70416719623583,1.8992967650601036,179.75692438379028,165.26336877402665,175.49043794618837,326,108,275,115,315,155,303,189,296,92,316,184,271,242,250,301,331,304,290,303
0:00:00,6.499652464828813,1.83807229880959,179.64722456369574,165.55449587495198,175.83738402999057,326,110,275,115,315,156,303,190,297,95,316,185,270,243,250,301,331,304,290,303
0:00:00,6.499652464828813,1.83807229880959,179.5672517927544,166.39219554480255,176.3330183120632,326,110,275,115,315,156,303,190,297,98,316,186,269,243,250,301,331,304,290,303
0:00:00,5.39067375509461,1.83807229880959,179.61099036996595,166.49477984220394,176.35428496098558,326,111,275,115,315,157,302,191,297,100,316,187,269,243,250,301,331,304,290,302
0:00:00,4.278300640178003,1.83807229880959,179.67089220036928,166.5830486291508,176.424006496144,326,112,275,115,315,157,302,191,297,100,316,187,269,243,250,301,331,302,290,302
0:00:00,4.278300640178003,1.8992967650599137,179.57106431341273,166.84979906661206,176.45619531974478,326,112,275,115,314,157,302,191,297,99,315,187,268,243,250,301,331,302,290,302
0:00:00,4.278300640178003,1.83807229880959,179.51377275562876,166.99035956508544,176.45015915216672,326,112,275,115,314,157,302,191,297,99,315,187,268,243,250,301,331,302,290,302
0:00:00,5.39067375509461,1.83807229880959,179.4981307135828,167.02660565485132,176.5829185885469,326,112,275,116,314,157,302,192,297,100,315,188,268,243,250,301,331,302,290,302
0:00:00,4.278300640178003,1.83807229880959,179.4538446178935,167.0868930014377,176.73202032497167,326,113,275,116,314,158,302,192,297,100,315,188,268,243,250,301,331,302,290,302
0:00:00,4.278300640178003,1.83807229880959,179.42170738307922,167.11698895608194,176.8797477536602,326,113,275,116,314,158,302,192,297,99,315,188,268,243,250,301,331,302,290,302
0:00:00,4.278300640178003,1.83807229880959,179.40783209123714,167.13780146768727,176.94872470894438,326,113,275,116,314,158,302,192,297,99,315,188,268,243,250,301,331,303,290,302
0:00:00,5.39067375509461,1.83807229880959,179.3236116602719,167.21467308577223,177.1173231693941,326,112,275,116,314,158,302,192,296,98,315,188,268,243,250,301,331,303,290,302
0:00:00,5.39067375509461,1.83807229880959,179.27454701703448,167.21994735510546,177.16184107789198,326,112,275,116,314,158,302,192,296,98,315,188,268,243,250,301,331,303,291,302
0:00:00,5.39067375509461,1.83807229880959,179.24104922664728,167.25069078345194,177.2568732403902,326,112,275,116,314,158,302,192,296,97,315,188,268,243,250,301,331,303,291,302
0:00:00,5.39067375509461,1.83807229880959,179.21944738718324,167.28519965383694,177.76932102808172,326,112,275,116,314,158,302,192,296,97,315,188,268,243,250,301,331,303,291,302
0:00:01,5.39067375509461,1.83807229880959,179.19587319747657,167.3698754309974,178.24260618114096,326,112,275,116,314,157,302,192,296,97,315,188,268,242,250,300,331,303,291,302
0:00:01,5.39067375509461,1.8992967650601036,179.1458297516172,167.51365184464885,178.50111235178665,326,112,275,116,314,157,302,191,296,97,314,188,268,242,250,300,331,303,291,302
0:00:01,5.39067375509461,1.8992967650601036,179.0024938315797,167.8574722115437,179.10447320800452,326,111,275,115,313,156,302,191,295,97,314,188,269,242,250,300,331,303,291,302
0:00:01,6.610331937378021,1.9647387569719397,178.86570233109825,168.44933946162118,179.72453761789936,325,110,275,115,312,155,302,191,295,97,313,187,268,242,250,300,331,303,291,302
0:00:01,5.479527930979344,1.9647387569719397,178.76850182265224,168.5909065308734,179.48741949723328,325,110,275,114,312,155,302,191,295,97,313,186,268,242,251,300,331,303,291,302
0:00:01,4.345123587290743,1.9647387569719397,178.73840479425567,168.75324828121492,178.99744857325467,324,110,274,113,312,155,302,191,294,97,312,186,268,242,251,300,331,303,291,302
0:00:01,3.2544586688502477,2.0348494227214324,178.78986301525325,169.4579671415217,177.92948233302766,323,110,274,112,311,155,300,191,293,97,311,186,268,242,251,300,331,303,291,301
0:00:01,3.2544586688502477,1.9647387569719397,178.69418449002882,169.95264810798707,177.64497184422515,322,110,273,112,309,155,296,190,292,97,311,186,267,242,251,300,331,303,291,301
0:00:01,0.929218745381803,2.0348494227216096,178.76333061208658,169.86518569103322,176.62299108179934,320,110,272,110,306,155,291,190,291,97,310,186,267,242,251,300,331,303,291,302
0:00:01,2.141801748753295,2.0348494227216096,179.29117643183733,169.97721283126793,174.4458133907692,319,110,272,109,304,155,285,190,290,98,310,186,266,242,251,300,332,303,291,301
0:00:01,5.982604011825771,2.0348494227216096,179.82196058100905,170.26248815619297,168.23271075060947,317,112,272,108,302,156,275,192,288,99,310,186,266,243,251,300,332,303,291,302
0:00:01,8.654298442555358,2.0348494227216096,179.1869257117354,170.82180463525032,171.3793613541066,316,113,272,107,295,156,267,191,287,99,310,186,266,243,251,300,332,303,291,302
0:00:01,14.252580054909174,0.0,178.5395095808478,171.66805841842378,171.1597039727235,315,116,273,106,289,156,258,188,285,99,310,187,266,244,251,300,332,304,291,302
0:00:01,17.542256030620223,0.0,177.91886277777164,172.6045630639481,162.59456692538149,314,117,274,105,287,155,249,181,285,98,309,187,266,243,251,300,332,304,291,302
0:00:01,19.717809968364122,2.0348494227214324,176.9779875707583,173.0450082737348,158.55689644899093,313,118,275,105,282,153,239,175,284,97,309,188,267,243,251,300,332,304,291,302
0:00:01,18.286339087902178,4.0645254927614705,176.18674925341895,173.88940689094005,163.28980562746338,311,117,276,106,273,146,235,161,284,96,309,191,267,244,251,300,332,303,291,302
0:00:01,19.269000345990378,4.06452549276156,175.7208242033812,174.53887201469556,167.6468992044314,307,117,277,107,262,141,228,152,284,96,310,193,267,244,251,300,332,303,291,302
0:00:01,20.481583349361898,2.0348494227216096,175.04885765036775,174.74700964105654,157.38800089655555,306,118,278,108,263,137,226,143,284,93,310,194,267,244,251,300,332,303,291,302
0:00:01,19.269000345990406,2.0348494227216096,174.73754399951395,174.78548292006423,153.03290924682176,305,117,278,108,264,131,222,133,283,93,310,194,267,244,251,300,331,303,291,302
0:00:01,19.269000345990406,2.0348494227216096,174.5370721754664,174.87101680955809,140.4073254179394,306,117,279,108,265,129,224,123,282,93,310,194,267,244,251,300,331,303,291,302
0:00:01,24.306477156246757,2.0348494227216096,173.7226827429995,175.88908303547728,132.68145812271288,305,117,282,107,265,125,226,114,281,94,310,194,267,244,251,300,330,303,291,302
