video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,8.831683762028803,0.0,177.43079582331808,163.77074893460102,172.26791711096237,340,147,297,153,337,183,326,215,310,143,334,206,305,254,298,301,349,300,324,300
0:00:00,8.831683762028803,2.278785166027438,177.7471940913962,162.9510565148776,173.15920039743577,340,147,297,153,336,183,326,215,310,143,334,205,305,254,298,301,349,300,324,300
0:00:00,10.12760003936117,2.1912276312077115,177.88698189569843,162.40387627721083,174.4413920286448,340,146,297,153,336,183,326,215,310,144,335,204,305,254,298,300,349,300,324,300
0:00:00,10.12760003936117,2.1912276312077115,177.9045653859516,162.0660840807918,174.72238600104845,340,146,297,153,335,183,326,215,310,144,335,204,305,254,298,300,349,300,324,300
0:00:00,10.12760003936117,4.375997802377407,177.88618447565668,161.78090413769067,174.84126779840875,340,146,297,153,336,183,326,214,310,144,335,203,305,254,298,300,349,300,324,300
0:00:00,8.654298442555358,4.375997802377407,177.87835732158524,161.56790346694075,174.6652446815995,340,146,296,152,335,183,326,214,310,144,335,203,305,254,298,300,349,300,324,300
0:00:00,9.922036788351107,2.1912276312077115,177.89710314751255,161.4178873300751,174.5841896153707,340,146,296,153,335,183,326,214,310,144,335,204,305,254,298,300,349,300,324,300
0:00:00,10.127600039361226,2.1912276312077115,177.89310963695115,161.17974708308287,174.72377079919718,339,146,296,153,335,183,326,214,310,144,335,204,305,254,298,300,349,300,324,300
0:00:00,10.127600039361226,2.1912276312077115,177.83761905986918,160.91624162761522,175.11926261466024,339,146,296,153,335,183,326,214,310,144,335,204,305,254,298,300,349,300,323,300
0:00:00,9.922036788351107,2.1912276312077115,177.79441231948582,160.7748676460243,175.1312510442622,339,146,295,153,335,183,327,214,309,143,335,204,305,254,298,300,349,300,323,300
0:00:00,10.12760003936117,2.1912276312077115,177.7626927681202,160.57182547666778,175.53351404777146,338,146,295,153,335,183,327,215,309,143,335,204,305,255,298,300,349,300,323,300
0:00:00,9.922036788351136,2.1912276312077115,177.62579584694979,160.447617090056,175.91480783027356,338,146,294,153,335,183,328,215,309,143,335,204,304,255,298,300,349,301,323,300
0:00:00,10.127600039361226,2.1101466048138344,177.58460542130672,160.38371531274976,175.16131605192143,337,146,294,153,335,183,328,215,309,143,335,204,304,255,298,300,349,301,323,300
0:00:00,12.429672371638162,2.1912276312077115,177.50774524829836,160.28074281379259,175.94195581144075,337,145,293,154,334,181,328,215,308,143,334,204,304,255,298,300,349,301,323,301
0:00:00,12.68968070507566,2.1912276312077115,177.4831252610789,160.23021912515938,175.97650077160964,336,145,293,154,334,181,328,215,308,143,334,204,304,255,298,300,349,301,323,301
0:00:01,12.68968070507566,2.1912276312077115,177.48679907330964,160.02883433156137,176.10692199501736,335,145,292,154,334,182,328,216,308,144,334,204,303,256,298,300,349,301,323,301
0:00:01,12.429672371638162,2.1912276312077115,177.65789949497315,159.47330806603796,174.99369143622073,335,145,291,154,333,183,326,216,307,144,334,204,303,256,297,301,349,301,323,301
0:00:01,12.180765656825002,2.1912276312077115,177.7638493916293,158.9410536279272,173.87020516768484,335,145,290,154,333,183,325,216,307,145,334,204,303,256,297,301,349,301,323,301
0:00:01,11.180868233553042,2.1912276312077115,177.64012410799916,159.17822704400788,173.06260033983466,334,145,290,153,332,183,323,216,307,145,334,204,303,255,297,301,349,301,323,301
0:00:01,9.922036788351136,4.375997802377407,177.63019652369874,159.76038704313976,174.55533698232514,333,145,289,152,329,183,320,216,306,145,333,204,303,255,297,302,349,301,323,301
0:00:01,7.52749415546802,4.375997802377407,177.58523232841668,159.98236130481652,173.4472378906847,332,146,289,151,327,182,316,216,306,145,333,204,303,254,297,302,349,301,323,301
0:00:01,6.341466006919006,4.375997802377407,177.46516243231414,160.33989322721405,173.52624650052786,330,146,288,150,325,182,312,215,304,144,333,204,303,255,297,301,349,301,323,301
0:00:01,2.319187068226455,6.547966508763267,177.5947026736857,161.21783299058598,174.7577937997593,329,147,288,148,320,183,306,216,304,144,333,204,303,255,297,301,349,301,323,301
