video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,8.277132731369306,6.307461606912107,179.16179551220395,166.48052362841193,176.6991953353169,348,88,294,95,340,136,329,176,325,83,338,167,294,232,285,297,360,298,323,298
0:00:00,8.144970000340209,8.08813211243737,179.69875810271307,166.154175465513,174.51918665846156,349,88,294,95,342,137,330,177,324,83,338,166,294,233,285,298,361,298,323,298
0:00:00,8.017453434547207,8.08813211243737,179.98157993646686,165.5017471129681,174.7783173788919,350,88,294,95,343,137,332,177,325,82,339,166,294,233,286,298,361,298,323,298
0:00:00,8.017453434547264,6.307461606912107,179.88447020373994,164.40896999351534,174.5148811011368,351,88,295,95,344,137,332,178,326,82,341,166,295,232,286,298,362,298,324,298
0:00:00,9.017350857819167,7.656322191319239,179.75327908340446,164.08475551875358,174.2574641932927,351,87,295,95,345,137,332,178,327,82,343,165,295,232,287,298,363,298,325,298
0:00:00,9.017350857819167,7.86634334847857,179.95884181363368,164.0775518854951,173.69860001143834,352,87,296,95,346,137,333,178,328,82,343,165,296,232,288,298,363,298,326,298
0:00:00,9.017350857819167,6.30746160691205,179.99917467161796,164.05585835956597,173.83218071102746,352,87,296,95,347,136,334,178,329,82,344,165,296,232,288,298,364,298,326,298
0:00:00,9.01735085781911,7.86634334847857,179.95957971582794,164.02661901347545,173.75100240525214,353,87,297,95,347,136,334,178,329,82,344,165,297,233,289,298,364,298,327,298
0:00:00,10.17455225279457,8.088132112437325,179.9546019353304,164.2639176935943,174.34529728357867,353,86,298,95,347,136,335,178,330,82,344,165,297,232,289,298,364,298,327,298
0:00:00,10.17455225279457,6.307461606912107,179.94613543103387,164.2883151491967,174.34351470518013,353,86,298,95,347,136,335,178,330,82,345,165,298,232,290,297,365,298,327,298
0:00:00,9.162388712736487,7.866343348478615,179.90726052321315,164.41429093292066,174.85870742627915,353,86,298,94,347,136,335,178,330,83,345,164,298,232,290,297,365,298,327,297
0:00:00,9.017350857819167,7.866343348478615,179.79686169234327,164.5826286262846,175.046671913011,354,86,298,94,348,136,336,178,330,83,345,164,298,231,290,297,365,297,327,297
0:00:00,9.162388712736487,8.088132112437325,179.83838283586434,164.56325881386695,174.95537614051818,354,86,299,94,348,136,336,177,330,83,344,163,298,231,290,297,366,297,328,297
0:00:00,9.162388712736487,8.088132112437325,179.82072522446694,164.65405182985614,174.8837630057803,354,86,299,94,348,136,336,177,330,82,344,163,298,230,290,297,366,297,328,297
0:00:00,9.017350857819167,7.866343348478615,179.93264473618257,164.63778334628827,174.23944081707958,354,86,298,94,348,136,336,177,330,81,345,163,299,230,290,297,366,297,328,297
0:00:01,9.017350857819167,7.866343348478615,179.6917006368551,164.75285988096752,174.12603164087943,354,86,298,94,348,136,336,177,330,81,345,163,299,230,290,297,366,297,328,297
