video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,9.537093291899282,7.393044617886972,176.78766483595962,158.633210300147,174.87329618460464,369,125,323,132,366,162,358,191,341,116,368,190,340,243,311,291,376,294,344,292
0:00:00,9.922036788351136,2.3736270086196045,178.59507476355566,159.60645102218004,174.68334203866797,369,124,325,131,366,161,358,189,342,117,368,190,337,241,311,291,376,293,343,292
0:00:00,11.180868233553099,2.278785166027438,179.75122650544216,159.61433169204412,174.8130561477296,369,123,325,131,366,161,358,189,342,116,368,189,335,239,310,291,376,293,343,292
0:00:00,11.180868233553099,0.0,179.80505277275864,159.6501845212694,175.35717958382142,369,123,325,131,365,161,358,189,342,116,368,189,328,239,310,292,376,293,343,292
0:00:00,10.957777396175885,2.1912276312077115,179.84597480632695,160.07913345104205,176.0670395847326,370,123,325,131,365,161,358,189,342,117,368,189,329,238,310,292,376,293,343,293
0:00:00,10.127600039361226,2.110146604814005,179.87692774066804,160.20370855446103,177.47166575274122,370,123,327,130,366,161,360,189,343,117,369,189,330,238,310,292,377,293,343,293
0:00:00,11.413995768000802,2.1912276312077115,179.9355957989773,160.162338184585,177.47339730635747,370,122,327,130,366,161,360,189,343,117,369,189,330,238,310,292,377,293,343,292
0:00:00,11.413995768000802,2.110146604814005,179.90690157075738,160.16568304714738,178.12203160987016,370,122,327,130,365,161,360,189,342,116,369,189,330,239,310,292,377,293,343,293
0:00:00,11.413995768000802,2.110146604814005,179.89195646104838,160.15785565215504,178.2070841899874,370,122,327,130,365,161,360,189,342,116,369,189,329,238,310,292,377,294,343,293
0:00:00,9.922036788351136,2.110146604814005,179.68037496658565,160.10073414204393,178.20147986820342,370,123,326,130,365,161,359,189,342,116,369,189,329,238,310,292,376,294,343,293
0:00:00,9.922036788351136,2.110146604814005,179.57422186374532,160.08989555999366,178.11836630264256,370,123,326,130,365,162,359,190,342,116,369,189,328,238,310,292,376,294,343,293
0:00:00,9.922036788351136,2.110146604814005,179.47460029096672,160.1127847831531,178.0106728368364,370,123,326,130,365,162,359,190,342,116,369,189,327,238,310,292,376,294,343,293
0:00:00,9.922036788351136,2.0348494227216096,179.43146855798994,159.9752924517734,177.95304043984942,370,123,326,130,365,162,359,190,342,116,369,189,327,238,310,292,376,294,343,293
0:00:00,10.957777396175885,2.0348494227216096,179.2936663102751,159.42199396556362,177.99630204489864,370,123,325,131,364,163,359,192,341,117,369,189,326,238,310,292,376,294,343,293
0:00:00,10.744095173189322,2.110146604814005,179.14423844128973,159.40420309460305,177.90359383818776,370,123,324,131,364,163,359,192,341,117,368,189,326,238,310,292,377,294,343,293
0:00:01,10.957777396175857,2.110146604814005,178.97877937545087,159.49513616283576,178.0516506510544,369,123,324,131,365,163,360,192,341,118,368,189,327,238,310,292,377,294,343,293
0:00:01,10.744095173189322,2.1101466048141764,178.5183331216539,159.87370848509468,177.25631186990896,369,123,323,131,365,163,359,192,340,118,367,189,327,238,310,292,377,294,343,293
0:00:01,10.744095173189322,2.110146604814005,178.21551869097507,160.19175157393602,176.41859450316932,368,123,322,131,364,162,359,191,339,119,366,189,327,238,310,292,377,294,344,293
0:00:01,10.744095173189322,0.0,178.0058637157897,160.72123106203802,176.2522033627285,368,123,322,131,363,162,356,190,338,119,366,190,327,238,310,293,377,294,344,293
0:00:01,9.725388973170624,0.0,178.049598827177,160.9554853071325,177.2475586744656,367,124,322,131,359,162,352,186,338,120,365,190,327,239,310,294,377,294,344,294
0:00:01,7.37882469603943,2.191227631207876,178.67132178792,161.42407372128386,175.93573357198613,365,126,321,131,354,162,345,184,337,120,365,190,329,240,310,293,377,294,343,294
0:00:01,2.2545612455782305,2.191227631207876,179.96206433962377,162.15345900199313,167.4345258065695,364,129,321,130,348,168,330,189,336,120,364,191,324,242,310,294,377,294,343,294
0:00:01,0.929218745381803,2.110146604814005,179.5240759895634,162.8797209626904,165.78797504464015,362,130,321,130,342,170,321,191,335,120,364,191,320,242,310,294,377,295,343,294
0:00:01,8.386380321603042,0.0,179.95794752159517,164.31277222492943,167.44685796572875,359,133,321,128,336,169,311,192,335,120,362,192,320,241,309,294,377,295,343,294
0:00:01,10.092694961054377,2.0348494227214324,179.97417687279696,165.34468416531305,168.8416767069515,358,133,321,127,327,169,303,186,334,120,362,193,320,241,309,293,377,295,343,294
0:00:01,12.843526485338884,2.110146604814005,179.81371919189817,166.80415086936497,156.8422319141832,355,133,322,126,322,164,298,175,333,116,361,193,321,240,309,293,377,295,343,294
0:00:01,13.587887153994131,4.214525146502608,179.36432542997295,167.47026363098547,156.99981711688443,353,134,322,127,312,159,285,166,333,115,361,195,321,240,309,292,377,295,343,293
0:00:01,14.429598119356228,2.191227631207876,177.95585784238568,168.57379339685326,153.79141000622008,353,133,324,126,310,159,280,165,330,115,360,194,322,239,309,292,378,295,343,293
0:00:01,14.893002543613022,2.278785166027596,177.48257935131787,169.05206813777568,153.18172647741994,353,133,325,126,310,150,281,152,331,115,360,194,322,238,309,291,378,295,343,293
0:00:01,10.661125799472899,2.191227631207876,177.37282105407084,169.20903878683663,128.7848720803496,354,132,325,127,317,143,288,136,331,115,360,194,322,238,309,290,378,295,343,292
0:00:01,2.7672910441913814,0.0,177.02776618915712,168.4531216156004,111.75736352099511,354,129,323,128,323,139,293,125,331,116,359,194,322,238,309,290,378,295,343,292
0:00:01,2.9640681681034096,0.0,176.59264572171492,169.018495706972,118.17899373034598,352,127,324,128,322,133,294,119,329,118,359,195,321,238,309,290,377,295,343,292
0:00:01,8.741990681062504,0.0,176.10593912111017,168.65799114674925,107.05147789218013,352,124,323,128,324,130,298,111,326,120,359,195,321,238,309,290,377,294,343,292
0:00:01,11.826732942411553,2.191227631207876,175.94646205982568,167.62309043289167,69.17100985938166,352,122,321,128,344,129,315,108,326,120,360,194,321,238,309,290,377,294,343,292
0:00:01,11.180868233553014,2.191227631207876,176.1244326036162,167.05485798602345,48.17125545972761,353,122,320,128,346,130,326,104,327,120,360,195,321,239,309,290,377,294,343,292
0:00:01,14.485866610456497,0.0,175.26450323149305,166.2079757906959,52.00326163336083,353,121,320,129,343,130,326,104,327,121,361,196,321,239,309,289,377,295,343,292
0:00:01,16.556763459202358,2.191227631207876,175.36801052833476,164.39034402796847,59.49028921333859,353,122,321,131,343,129,324,101,327,125,363,196,321,239,309,289,377,295,343,292
0:00:01,12.843526485338856,2.110146604814005,175.0620481182812,162.3518700432446,70.75646395249423,354,124,321,131,345,129,326,109,327,128,366,196,322,238,309,289,378,295,343,292
0:00:01,0.929218745381803,1.9647387569719397,178.56417380776853,161.38699970171368,53.57756303900858,355,133,324,133,347,147,323,130,327,129,369,196,330,239,310,289,379,295,345,292
0:00:01,16.792299308673137,0.0,177.398688711357,165.13248066503672,98.1794484657389,355,138,334,132,330,149,300,132,327,132,371,198,335,241,311,290,380,295,345,292
0:00:01,16.490714821324303,2.0348494227216096,177.02087204688098,163.25733970219972,125.23883824075051,360,141,335,134,331,162,292,161,330,132,374,198,334,240,312,290,381,295,346,292
0:00:01,4.092633544387667,0.0,178.16978808508583,158.65680443258694,120.74913687631656,368,138,332,136,356,170,322,177,334,131,377,196,338,239,312,290,382,296,347,293
0:00:01,22.35899311604618,4.375997802377407,179.51787006844737,154.40684042882899,172.8731599970671,369,124,331,139,368,162,360,192,334,131,380,193,342,239,314,289,384,297,349,293
0:00:01,28.544460700492124,9.04334994462487,179.08500799838737,155.68204487485312,177.22088161068126,369,117,331,137,378,158,381,183,336,131,377,189,355,241,356,290,385,297,371,293
0:00:01,35.52751559602706,12.201458963137794,179.6338077919475,153.74539988441302,179.21312701988256,368,112,332,137,385,145,399,173,337,123,379,186,354,241,350,292,384,293,367,292
0:00:02,36.995902340506234,8.08813211243737,179.99751426695764,155.4671374551382,173.4213042745147,367,113,337,135,389,131,409,145,340,122,380,187,349,240,326,286,382,293,354,290
0:00:02,37.125742662629676,13.172168030166112,179.28273308879653,162.96274005251803,121.7942633861994,366,115,347,129,388,123,411,117,349,116,379,186,355,240,342,289,380,293,361,291
0:00:02,26.000245965878747,8.08813211243737,178.48703827877284,166.9074695532619,140.1404145882849,368,116,351,124,388,112,405,94,357,104,378,187,351,241,319,284,379,293,349,288
0:00:02,171.91186788756266,142.39121805340102,172.42312854322722,174.03082281072338,158.90783545540378,352,117,373,114,370,107,386,86,365,96,367,185,352,241,314,284,378,293,346,288
0:00:02,160.66032097611946,63.10747691426315,172.76420134112308,175.91377202508022,97.51552624305569,355,116,372,110,364,118,382,101,372,98,369,184,354,240,313,282,378,293,345,288
0:00:02,161.6602183993914,134.30308594096365,172.24015571322957,173.37772662871808,176.43466429342956,356,117,377,110,363,105,370,88,381,99,368,184,360,239,317,285,377,293,347,289
0:00:02,167.53587008518534,169.6573066419845,171.6148007447905,170.2185028758338,169.4870498059049,355,114,382,108,356,104,363,86,381,99,366,183,358,238,314,282,377,293,346,287
0:00:02,165.54057652009735,170.9826491421809,173.71785415942165,168.90869886962946,143.27713632476195,354,109,381,102,349,102,356,87,377,95,364,180,359,236,313,280,377,293,345,286
0:00:02,165.54057652009735,165.10699745638695,174.48385305834267,169.4766467636629,148.68613750141773,355,109,382,102,349,103,350,84,379,93,365,180,362,234,315,277,377,292,346,285
0:00:02,169.1706675886332,179.0707812546182,174.68125476844364,170.73807936457646,102.78229510867551,355,107,381,102,348,106,348,88,380,92,366,179,360,232,315,276,377,292,346,284
0:00:02,171.67730131045735,170.9826491421809,178.36857479140352,163.22469925120026,62.13566742928927,352,106,386,101,344,108,347,92,378,92,358,175,366,231,318,276,376,291,347,284
0:00:02,168.74845308855674,173.38966806262206,177.72511673504957,166.17963585209503,63.46567086521067,353,108,383,102,340,110,347,93,382,94,361,176,365,231,319,276,377,291,348,284
0:00:02,170.58652538736627,171.98254656545285,177.48990562349832,166.55648663637868,43.365064064192204,354,107,384,102,338,113,347,93,382,91,362,177,364,231,319,275,377,291,348,283
0:00:02,169.74835051182873,170.98264914218083,177.1747411387172,165.6616540569298,38.207623332831055,354,108,387,102,335,115,348,93,381,90,363,177,363,231,319,276,377,291,348,284
0:00:02,173.51385559280865,170.98264914218083,177.0930147756395,165.38337762343002,32.26534628557294,354,107,389,103,334,116,347,93,381,89,363,177,364,231,319,277,377,291,348,284
0:00:02,173.86167736252918,169.6573066419845,177.61429614945564,164.57668479014026,30.26121263441904,354,107,391,103,334,117,347,93,382,88,364,177,365,232,320,276,377,291,348,284
0:00:02,175.7854748534974,160.7309996540096,179.37393680330774,169.4303300679461,17.884185388518397,357,106,384,104,353,117,348,93,384,87,367,177,364,231,320,276,377,291,348,284
0:00:02,176.54967487241973,165.10699745638695,179.44827946240997,166.19990468238313,30.23778726368065,357,106,390,104,340,117,348,92,384,87,366,177,365,231,320,276,376,291,348,283
0:00:02,176.74639540284292,179.0707812546182,178.47338537393412,165.2944362581332,31.19168149996231,357,106,392,104,337,118,348,91,384,88,366,178,366,231,320,276,376,290,348,283
0:00:02,176.65091810520366,179.0707812546182,178.542354487603,167.18861085940148,31.41435187535435,357,106,391,104,337,118,348,91,386,87,368,178,365,231,320,276,376,290,348,283
0:00:02,176.20561466477812,179.0707812546182,179.72929310995397,169.8885649748173,32.66697827086606,359,106,389,104,338,117,349,92,386,87,370,178,365,231,320,276,376,290,348,283
0:00:02,176.54967487241973,0,179.7380084280246,168.62966721091527,31.62976144495883,359,106,392,104,339,117,350,92,387,86,370,178,365,232,320,276,376,290,348,283
0:00:02,176.83658520099422,0,178.82376667005423,167.5992770756022,30.46465071757702,358,106,394,104,339,117,351,92,388,86,370,178,364,232,320,276,376,290,348,283
0:00:02,159.55007179457738,9.413474612633724,179.39579404190974,176.1166143537068,30.507345080904248,372,107,380,104,357,121,357,98,388,87,373,179,361,232,320,276,376,290,348,283
0:00:02,13.856753084453317,9.413474612633724,179.9981691430666,178.24720489020422,38.75358650432294,384,107,371,104,374,121,361,98,390,86,376,180,358,232,320,276,377,291,348,283
0:00:02,170.58652538736627,12.464129914814672,179.3852131794612,175.52274092514332,25.823904417525828,371,106,383,104,358,120,360,96,391,86,374,180,358,232,320,276,377,291,348,284
0:00:02,174.31888680800378,26.42791371304595,178.61487527722014,170.3695905800308,19.003442107473422,363,107,393,104,349,119,358,95,391,87,373,180,359,233,319,277,377,291,348,284
0:00:02,174.98357970891874,44.767695313654556,177.95884841325105,170.02584221559403,14.53046633096914,359,107,393,104,348,119,358,96,392,89,372,180,360,233,319,277,377,291,348,284
0:00:02,173.32480155968872,44.767695313654556,177.44113556131467,170.40813295897692,10.357835864204128,358,108,392,104,349,119,359,96,393,92,372,179,360,233,319,277,377,291,348,284
0:00:02,173.32480155968872,89.5353906273091,176.99166767442713,169.95989526749003,6.079799154996137,358,108,392,104,350,119,361,98,393,94,372,179,361,233,319,277,377,291,348,284
0:00:03,171.42882860359333,134.30308594096365,177.0881618919967,170.4150194875671,5.278960014888672,358,108,391,103,352,114,366,98,393,94,371,179,361,233,319,277,377,291,348,284
0:00:03,169.43516685024542,89.5353906273091,176.3812727940628,171.04599164325535,0.5148168715490576,358,109,390,103,355,113,367,97,393,94,372,179,362,232,320,276,377,291,348,284
0:00:03,167.724611117229,179.0707812546182,175.8777911063922,170.46982573558313,20.070416041501904,358,109,390,102,359,115,370,97,390,94,371,178,364,231,320,276,377,292,348,284
0:00:03,168.42642261655246,171.98254656545285,174.03356000613357,166.42350236724377,19.57698901585749,359,109,393,102,359,116,370,97,389,96,368,177,365,231,320,275,377,291,348,283
