video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,13.620892361654597,9.115048020018534,177.49154847916128,157.86099369946243,173.5947111242802,324,116,271,128,323,161,315,198,296,113,323,183,274,252,260,306,345,303,303,305
0:00:00,14.89300254361305,5.499005185407473,177.04925643764193,158.64200721213652,173.44508011171732,323,116,271,129,323,161,315,198,296,113,323,186,274,252,260,306,345,303,303,305
0:00:00,15.919918451194235,5.499005185407473,176.74549338188842,159.0711200426377,173.45854738858034,323,116,271,130,323,161,315,198,296,113,323,187,274,252,260,307,345,303,303,305
0:00:00,15.155673495289903,5.499005185407473,176.59377968632506,159.4321101449788,173.5240334374411,323,117,272,130,323,162,315,199,296,113,323,187,274,252,260,307,345,303,302,305
0:00:00,15.155673495289903,5.499005185407473,176.50523582717858,159.63665332681137,173.61798464282202,323,117,272,130,323,162,315,199,296,113,323,187,274,252,260,307,345,303,302,305
0:00:00,15.155673495289903,5.681113191996226,176.47444556758333,159.77330923339008,173.75193330308858,323,117,272,130,322,162,315,199,297,113,322,188,274,252,260,307,345,303,302,305
0:00:00,15.155673495289903,7.55543734091042,176.4521784086667,159.83043510707142,174.0679827042645,323,117,272,130,322,162,315,199,297,113,322,187,274,252,260,307,345,303,302,305
0:00:00,15.155673495289903,7.55543734091042,176.432394424061,159.87999704668093,174.29507748470166,323,117,272,130,322,162,315,199,297,113,322,187,274,252,260,307,345,303,302,305
0:00:00,15.155673495289903,7.55543734091042,176.40354375213866,159.94798377049224,174.38523335498175,323,117,272,130,322,162,314,200,297,113,322,187,274,252,260,307,344,303,302,305
0:00:00,15.155673495289903,5.681113191996226,176.3689985543953,160.06479644706252,174.47752883056165,323,117,272,130,322,162,314,200,297,113,322,188,274,252,260,307,344,303,302,305
0:00:00,15.155673495289903,5.681113191996226,176.34192807085893,160.2218358430708,174.52337067046219,323,117,272,130,322,162,314,200,297,113,322,188,274,251,260,307,344,303,302,305
0:00:00,14.355282646470982,5.681113191996226,176.29664888475435,160.38607310015786,174.5351844783464,322,117,272,129,322,162,314,200,297,113,322,188,274,251,260,307,344,303,302,305
0:00:00,14.101386775547923,5.681113191996226,176.2561665071439,160.45795543059492,174.57274522791624,322,117,271,129,322,162,315,200,297,113,322,188,274,251,260,307,344,303,302,305
0:00:00,14.101386775547923,5.499005185407407,176.21790373462582,160.48161490882737,174.56902475424516,322,117,271,129,322,162,315,200,297,113,322,188,274,251,259,307,344,303,302,305
0:00:00,14.101386775547923,5.499005185407407,176.16189171036703,160.60300751674004,174.5506177422041,322,117,271,129,322,162,315,200,297,113,322,188,274,251,259,307,344,303,302,305
0:00:01,14.101386775547923,5.681113191996162,176.1476647661038,160.65889715949203,174.6361106669379,322,117,271,129,322,162,315,200,297,113,321,188,274,251,259,307,344,303,302,305
0:00:01,14.101386775547923,5.681113191996162,176.13259432804887,160.70436366493726,174.7022202884322,322,117,271,129,321,162,315,200,296,113,321,188,274,251,259,307,344,303,302,305
0:00:01,14.101386775547923,5.681113191996162,176.10484530915764,160.75946486344242,174.79143545416923,322,117,271,129,321,162,315,200,296,113,321,188,274,251,259,307,344,303,302,305
0:00:01,14.101386775547923,5.681113191996162,176.11105124042427,160.7879007162488,175.0159530186098,322,117,271,129,321,162,315,200,296,113,321,188,274,251,259,307,344,303,302,305
0:00:01,15.155673495289903,5.681113191996162,176.0916169003129,160.8021809225607,175.35905828434832,322,116,271,129,321,162,315,201,296,113,321,188,274,251,259,307,344,303,302,305
0:00:01,15.155673495289903,5.681113191996162,176.10857070054303,160.77150459892985,175.66700553404098,322,116,271,129,321,162,315,201,296,113,321,188,273,251,259,307,344,304,302,305
0:00:01,15.155673495289903,5.499005185407407,176.01008551434032,160.8551741753188,175.9994260292376,321,116,270,129,321,162,315,201,296,113,321,188,273,251,259,307,344,304,302,305
0:00:01,15.155673495289903,3.794385335221885,175.7932165259716,161.240488674664,176.35339596066592,321,116,270,129,320,162,314,201,295,113,320,189,273,251,259,307,344,304,301,305
0:00:01,13.856753084453288,3.794385335221885,175.49078694827597,161.5124427079057,177.03344298152757,321,117,269,129,319,162,313,202,295,113,320,189,273,251,259,307,344,304,301,305
0:00:01,13.03784391438009,3.794385335221981,174.95447274888565,162.6429699365263,178.5717011616413,320,117,269,128,317,163,312,202,295,113,318,189,273,252,259,307,344,304,301,306
0:00:01,11.965672338170634,3.924819890159581,174.682475818363,163.3680383922632,179.96025541173128,319,118,268,128,314,163,310,202,295,113,317,189,272,253,257,314,344,304,300,309
0:00:01,10.885534088851472,5.681113191996226,174.42590675405017,164.0585103057379,179.61904520399665,319,118,268,127,312,163,306,202,294,114,316,189,271,254,256,313,344,304,300,309
0:00:01,8.704167196235801,3.794385335221981,174.57602451773434,164.37434139539013,177.78090686106236,318,120,267,127,310,164,300,203,293,114,316,190,270,253,256,311,344,304,300,308
0:00:01,6.499652464828728,5.681113191996226,174.67480405790556,164.81724325270548,176.36717983450578,318,121,267,126,307,165,292,204,294,115,316,191,269,254,257,310,344,304,300,307
0:00:01,3.1633680552240264,3.794385335221981,174.83163444739242,165.52417962261097,176.82796215543382,318,123,267,125,302,166,284,205,293,115,316,192,269,254,257,309,344,304,301,307
0:00:01,2.0690667818514044,3.794385335221981,175.09879314091006,165.7682320395327,174.60185485526972,317,125,267,124,299,166,275,204,293,115,316,192,269,254,258,309,344,305,301,307
0:00:01,5.768620972016009,1.8992967650601036,175.42350280787343,167.09667085629198,173.36119022531642,315,126,268,122,293,166,266,200,292,114,316,193,269,254,258,308,344,305,301,306
0:00:01,8.654298442555358,1.8992967650601036,176.06709837145192,168.06317591978947,171.40059732364793,314,128,270,122,288,166,258,195,292,114,316,194,269,254,258,308,343,305,300,307
0:00:01,10.567988627460295,1.83807229880959,176.60806061077247,169.1169845789783,171.85861444626713,312,129,271,122,280,163,247,189,291,112,316,195,269,254,258,307,343,306,300,306
0:00:01,12.756503652188371,1.9647387569719397,177.30003292466586,170.41602139917975,162.99784892043033,310,130,272,122,278,159,240,177,290,109,314,195,269,253,258,307,343,306,300,306
0:00:01,17.234150923268913,1.8992967650601036,177.69941049594314,171.79481415151136,156.48677437099457,308,131,274,121,270,157,231,169,289,109,314,196,269,253,258,307,343,306,300,306
0:00:01,16.10558554698457,0.0,178.4595737479246,172.7472333454443,146.117781970922,307,130,274,121,270,152,232,157,287,108,313,197,269,253,258,306,343,306,300,306
0:00:01,21.379146950804397,0.0,179.1901418379276,175.0941625519172,141.17253588382027,303,130,279,121,265,146,226,146,282,108,313,198,269,253,258,306,343,306,300,306
0:00:01,20.6258868385394,1.9647387569719397,179.3678534875497,174.8904457053459,124.23950636350749,302,130,277,121,266,141,231,131,282,108,312,198,268,253,258,306,342,306,300,306
0:00:01,17.105482970256503,0.0,179.89651102166724,174.8341998886075,104.38272572125045,301,128,277,121,268,138,237,119,278,108,311,198,268,253,258,306,342,306,300,306
0:00:01,14.89300254361305,0.0,179.45887573888575,175.04982804880444,96.029184228396,300,127,276,121,267,134,240,106,274,109,311,198,268,253,258,306,342,306,300,306
0:00:01,16.105585546984514,0.0,179.13160248055485,175.84487921216663,100.25322863065333,299,126,277,120,267,129,246,99,275,109,310,198,268,253,258,306,341,306,300,306
0:00:01,8.01745343454715,0.0,179.0224496648047,175.89772495429608,80.88615593871275,300,123,276,120,269,128,261,94,276,109,309,198,267,253,257,306,341,306,299,306
0:00:01,3.1204463765896833,0.0,178.91314924125987,175.7665553918174,61.4763791147579,301,121,275,120,274,130,272,96,276,109,309,198,267,253,257,306,341,306,299,306
0:00:01,2.9640681681034096,0.0,178.95329899690128,174.75323235063902,49.11811165580518,301,120,273,121,286,129,279,97,277,109,309,198,267,253,257,306,341,306,299,306
0:00:02,4.723604080603764,2.110146604814005,178.84513697840347,174.41902640121046,46.60728908764169,302,119,272,121,288,129,281,97,278,109,308,197,266,253,257,306,340,306,299,306
0:00:02,2.7672910441913814,2.110146604814005,178.71153540286195,174.1566674729054,67.31980325119179,302,119,271,120,290,122,283,85,278,109,308,197,266,253,257,306,340,306,299,306
0:00:02,4.487090915151384,2.0348494227214324,178.46105340824735,173.51009396946398,77.43512130000623,302,118,270,120,292,120,283,84,278,109,309,197,266,253,257,306,340,305,299,306
0:00:02,4.278300640178003,1.8992967650601036,177.4399582289935,172.29513752780838,66.23837447728427,304,118,270,120,293,123,279,88,279,109,311,197,266,253,257,306,340,305,299,306
0:00:02,6.257395271421331,1.8992967650601036,179.03469188496638,171.3092061017517,69.19696548611167,304,118,272,121,279,124,278,88,279,107,313,197,266,253,257,306,340,305,299,306
0:00:02,2.7672910441913814,1.8992967650599137,178.48980463652,170.8845022149534,84.12931553588626,306,120,275,121,277,125,266,93,277,108,315,197,267,253,257,306,341,306,299,306
0:00:02,2.512145031206785,0.0,176.52172920065516,168.87208092170556,96.2895798669771,312,122,276,121,277,134,248,113,278,114,319,197,271,253,257,306,342,306,299,306
0:00:02,2.3904370311172727,0.0,174.5595032552651,166.68262646690752,138.5236288479795,316,120,277,121,279,143,240,146,282,118,323,195,274,252,257,305,343,306,300,305
0:00:02,6.216328996106029,1.8992967650599137,176.49003837365677,163.2867636851969,151.82679304033263,320,118,277,122,298,153,259,173,283,116,327,192,278,250,256,303,345,306,300,304
0:00:02,16.628506656055777,6.0839333410007095,178.114667947452,158.51978283953898,161.44334203698207,321,112,275,125,318,151,296,182,291,117,326,184,282,248,256,302,344,305,300,303
0:00:02,28.856786341844327,4.214525146502608,178.96172468620404,156.3853025636554,166.0593646655311,318,106,273,130,331,147,328,178,291,119,326,184,288,246,257,301,345,306,301,303
0:00:02,35.651536288045804,2.0348494227214324,179.61559912367497,152.15838611246454,176.78126252057925,317,104,274,134,334,145,343,173,291,113,330,186,288,247,257,300,343,306,300,303
0:00:02,36.42145370453463,8.383466257138947,179.12924087313854,152.17665366842223,109.3349461709575,316,107,277,135,351,145,326,160,290,116,331,187,288,247,257,299,340,306,299,302
0:00:02,51.195919244443814,15.176366801602734,177.90577444286356,161.7348690630796,131.6352686016393,305,117,291,134,286,132,277,133,292,107,330,193,288,251,256,298,339,306,297,302
0:00:02,81.05113476005717,10.251649488171273,177.97878100139482,163.86537597277203,166.1639974801611,296,126,295,132,278,133,274,137,291,106,332,195,292,251,256,298,339,306,298,302
0:00:02,27.357132458427742,7.393044617886972,177.93348772123827,160.71526074228632,172.172695169679,309,123,291,132,313,134,316,138,297,106,334,196,297,251,258,297,338,305,298,301
0:00:02,24.306477156246757,2.847628556150895,178.31321951331554,162.02046089019734,164.04140320258546,316,122,293,132,326,101,325,72,308,105,334,198,297,251,260,295,338,305,299,300
0:00:02,7.236680352293888,6.675198440311282,177.85090710740567,166.81778548649095,158.76209332768906,317,122,299,124,319,114,312,96,315,101,333,197,298,250,260,295,338,306,299,300
0:00:02,20.00921847244021,7.088234689165412,178.68186263835133,169.0138635338541,176.48278746673307,326,112,303,120,318,93,308,67,317,98,333,196,301,248,260,294,338,306,299,300
0:00:02,20.809165949664504,12.03231999369654,178.85303791328377,171.61587962045837,146.72744312043113,330,107,308,115,317,81,289,67,319,96,332,194,303,247,260,292,338,305,299,299
0:00:02,11.758551156748581,11.251546911443217,176.28574730439556,172.55362366280735,168.60415185495913,336,108,310,113,317,94,285,78,321,97,332,191,304,246,260,292,338,305,299,299
0:00:02,8.741990681062447,7.55543734091042,174.33616205552735,172.22620453274018,177.15739993480543,339,109,310,113,317,99,286,85,326,98,332,191,303,246,260,293,338,305,299,299
0:00:02,172.91176531083468,15.176366801602734,176.20741508025392,178.14976326518865,159.68884694574334,320,111,328,110,292,101,279,90,331,96,329,192,302,248,260,293,337,305,299,299
0:00:02,90.4646093726909,10.251649488171273,176.87621422543882,179.58342662490682,88.42848883861173,321,112,321,108,299,118,282,98,331,93,329,192,302,248,261,293,337,305,299,299
0:00:02,10.34269335801551,11.251546911443185,175.88083738021066,178.22324689539522,51.273717840346954,324,108,318,107,323,119,297,105,330,92,329,191,305,247,262,293,337,306,300,299
0:00:02,135.23230468634546,23.078831818249768,176.5988974747101,179.73092212382127,37.03151289847646,320,109,322,107,318,131,295,112,329,89,328,192,305,247,263,293,337,306,300,300
0:00:02,13.393348660196466,21.688863495404785,177.12748537661784,179.94035441921397,41.5381976007948,329,108,320,106,345,140,354,130,336,89,327,191,305,247,263,294,338,306,300,300
0:00:02,4.60154859263821,12.464129914814702,175.3273417032736,176.87870649419975,111.22261586856365,348,106,317,108,359,135,392,138,344,91,330,191,305,247,264,294,338,306,301,300
0:00:02,0.929218745381803,26.42791371304595,176.06411589818435,178.7037216991539,97.22169068428194,347,107,325,107,327,131,308,128,344,90,329,193,305,247,264,294,338,307,301,300
0:00:02,170.58652538736632,145.55463285240685,177.72886962673823,169.4480708888698,18.38074357840037,319,110,343,106,294,147,295,122,339,89,324,193,306,247,264,294,338,307,301,300
0:00:03,169.515222977381,174.33173103697703,176.80461039202547,163.64757063704343,20.024638883788295,310,113,353,105,290,152,287,122,336,86,321,193,309,248,264,294,338,307,301,300
0:00:03,168.74845308855677,174.69478345224073,175.97069270138118,162.23544295598438,20.246527468814136,310,114,355,105,290,152,286,121,335,87,320,193,308,248,264,295,338,307,301,301
0:00:03,168.74845308855677,174.69478345224073,175.4815848076817,162.5683168712229,13.331784833511469,310,114,355,105,291,152,293,121,331,87,320,193,308,248,265,295,338,307,301,301
0:00:03,168.98694542067508,175.00625576185675,175.2424249185375,161.43738252209351,17.50913912264856,310,114,356,105,290,152,289,121,333,87,319,193,309,248,265,295,338,307,301,301
0:00:03,170.3899744422625,175.51290908484862,174.06783988718203,160.74194746383606,18.17666354230275,309,114,356,106,290,152,288,123,333,86,318,193,311,248,265,296,338,307,301,301
0:00:03,170.18512357219248,175.51290908484862,174.22606964330188,160.71164638392702,17.491469147989886,310,114,356,106,290,152,289,122,334,86,318,193,311,248,265,296,338,307,301,301
0:00:03,168.98694542067508,175.51290908484862,174.26571718555908,160.88312427531312,17.661068552814125,310,114,356,105,291,151,290,122,335,86,318,193,310,248,265,296,338,307,301,301
0:00:03,168.98694542067508,175.27639591939624,174.2700265963221,161.07490016141588,17.86071070263471,310,114,356,105,291,151,290,122,335,86,319,193,310,248,265,296,338,307,301,301
0:00:03,168.49954637374364,175.27639591939624,174.3533430749328,161.49604023382017,18.1201420481776,311,114,355,105,292,150,290,122,342,86,319,193,310,248,265,296,338,307,301,302
0:00:03,168.74845308855677,171.5153439137078,174.45186893506704,161.53386284124127,18.592744211822385,311,114,356,105,292,150,290,121,344,85,319,192,309,248,265,296,338,307,301,302
0:00:03,168.49954637374364,170.98264914218083,174.75562939172758,161.70480762444325,17.6001815399372,311,113,355,104,291,150,290,121,344,84,319,192,309,249,265,297,338,307,301,302
0:00:03,168.49954637374364,170.98264914218083,176.81361962362865,161.8930050471171,17.308429405167082,311,113,355,104,291,150,290,121,343,84,319,192,308,249,265,297,338,307,301,302
