video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,8.414198767417815,0.0,176.61132111078402,165.11217593807584,178.8456804204731,356,70,303,77,349,119,344,162,324,68,347,146,300,215,287,280,366,279,326,280
0:00:00,9.162388712736487,1.5829262858249933,176.67103229691608,164.20552080613567,179.36759131946403,356,70,301,78,349,119,344,162,323,60,347,146,301,214,287,280,366,279,326,280
0:00:00,10.012262276905005,0.0,176.80620106006003,164.02640238645304,179.86501570184853,356,70,300,79,349,120,343,163,322,55,346,147,301,214,287,281,366,279,326,280
0:00:00,10.012262276905005,0.0,176.86548965617249,164.1346797064322,179.94170634482705,356,70,300,79,349,120,343,164,321,53,346,148,301,214,287,281,366,279,326,280
0:00:00,10.17455225279457,0.0,176.84070817825804,164.204490107642,179.99508400392432,355,70,300,79,349,120,343,164,321,54,346,148,301,215,287,281,366,279,326,280
0:00:00,10.17455225279457,1.5829262858252213,176.83645889175372,164.31405718942858,179.7929791360177,355,70,300,79,348,120,343,164,321,56,346,148,301,215,286,281,366,279,326,280
0:00:00,9.01735085781911,0.0,176.86299285189858,164.31742901721597,179.8026625612959,355,71,299,79,348,120,342,165,321,54,346,149,300,215,286,282,366,279,326,280
0:00:00,10.012262276905062,0.0,176.8338127524927,164.34052685893195,179.77958305246017,355,71,299,80,348,121,342,166,321,55,346,149,300,215,286,282,366,280,326,281
0:00:00,10.012262276905062,1.6281284968092937,176.7330336679234,164.41711719938868,179.60606311504407,355,71,299,80,348,121,342,166,321,55,345,149,300,215,286,282,366,280,326,281
0:00:00,10.012262276905062,0.0,176.5138718448606,164.6320895669769,179.3566448012337,355,71,299,80,348,121,342,166,321,52,345,150,299,216,286,283,365,280,326,281
0:00:00,10.012262276905062,0.0,176.47984852151325,164.69508309158041,178.96364913002932,355,71,299,80,347,121,342,166,321,51,345,150,299,216,285,283,365,280,325,282
0:00:00,9.01735085781911,0.0,176.3834409088261,164.84541241384562,178.87709728671322,355,72,299,80,347,121,342,166,321,51,345,150,298,216,285,283,365,281,325,282
0:00:00,9.162388712736487,0.0,176.43222215877526,164.98597337470318,178.84448221666042,354,72,299,80,347,121,342,167,321,51,344,150,298,216,285,283,365,281,325,282
0:00:00,9.162388712736487,0.0,176.42932695165362,165.2338729248624,178.76564713405807,354,72,299,80,347,121,342,167,320,52,344,151,298,216,285,283,365,281,325,282
0:00:00,8.017453434547207,0.0,176.5580176814017,165.2876532041366,178.8055599057496,354,73,298,80,347,122,342,168,320,51,344,151,298,216,285,283,365,282,325,283
0:00:01,8.017453434547207,0.0,176.50773488686278,165.21461274266062,178.90785077793956,354,73,298,80,347,123,342,168,320,52,344,151,298,216,285,284,365,282,325,283
0:00:01,9.017350857819167,0.0,176.3812770738821,165.3661387505481,178.86035263902338,354,73,298,81,347,123,342,169,320,52,343,151,298,217,285,284,365,282,325,283
0:00:01,8.14497000034018,0.0,176.187390136049,165.5462415991917,178.73502122913746,353,74,298,81,346,123,342,169,319,52,343,151,298,217,285,284,364,282,324,283
0:00:01,8.01745343454715,0.0,175.94623310098947,165.80254231147114,178.5667065935188,353,74,297,81,346,124,342,170,319,55,342,152,298,217,284,284,364,282,324,283
0:00:01,7.01315208638249,0.0,175.95394851166628,165.74000817573094,178.1723722362364,353,75,297,81,345,124,341,170,319,57,342,152,297,217,284,284,364,282,324,283
0:00:01,7.122908048295216,0.0,176.05771766673772,165.5617402779488,178.12746958954415,352,75,297,81,345,125,341,171,319,58,342,152,297,218,284,284,364,282,324,283
