video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,22.82687251575996,8.088132112437325,175.68811220742495,161.46497995912839,170.54008687820573,332,131,285,150,337,168,330,206,309,138,329,203,291,256,287,308,350,308,319,308
0:00:00,21.7768149173354,7.812771935680669,175.2972779895762,161.715796293688,170.81444839034856,332,130,285,148,336,168,330,209,309,138,329,202,291,256,286,308,350,308,318,308
0:00:00,22.18951888798526,10.072404795992112,175.1860852100972,161.74777015906463,172.726556530525,331,130,285,148,335,169,329,209,309,138,328,201,290,257,286,308,349,307,318,308
0:00:00,21.10707264479987,7.812771935680716,175.17899709507918,161.90322242542828,173.37706895401183,331,130,285,147,334,170,329,210,309,138,328,201,290,257,285,308,349,307,317,308
0:00:00,20.711730147132755,9.731907054091119,175.72112048665957,161.525315228734,174.25270918508977,331,130,284,147,333,170,328,210,309,138,328,200,290,256,284,308,349,306,317,307
0:00:00,20.711730147132755,9.731907054091119,176.14514243417003,161.02146101116116,174.84406167538413,331,130,284,147,333,170,328,210,308,138,328,199,290,256,284,308,349,306,317,307
0:00:00,20.33098924797048,9.731907054091119,176.3875751503756,160.75324947346306,175.0702324029827,331,130,283,147,333,171,328,211,307,138,328,199,289,256,284,308,348,306,316,307
0:00:00,19.632052761254215,9.731907054091119,176.36054734329718,160.54584507020343,175.7142892546226,330,130,283,146,332,171,329,212,307,138,328,199,289,256,283,308,348,306,316,307
0:00:00,20.33098924797048,9.731907054091119,176.57837434792143,160.38744623343428,175.93292135180164,330,129,282,146,332,171,329,211,307,138,328,199,289,256,283,308,348,307,315,308
0:00:00,20.33098924797048,9.731907054091119,176.53888052463907,160.3048381955284,176.11222491787933,330,129,282,146,332,170,329,211,307,138,328,199,289,256,282,310,348,307,315,308
0:00:00,20.711730147132755,7.812771935680716,176.3054678858122,160.28647757276096,176.1934328875017,329,129,282,146,332,170,330,211,307,138,328,200,289,256,281,310,348,307,314,309
0:00:00,20.711730147132755,7.812771935680716,176.0043969540908,160.18065664133928,176.81727008811686,329,129,282,146,332,169,331,210,306,138,328,200,288,256,281,310,347,307,314,309
0:00:00,20.711730147132755,7.55543734091042,175.53294255326594,159.89341477855498,177.02005323815413,329,129,282,146,332,169,332,210,306,138,328,200,288,256,281,310,347,307,314,309
0:00:00,20.711730147132727,7.812771935680669,175.57483547770767,160.1181450016686,177.19363621314352,328,129,281,146,332,169,332,210,306,138,327,199,288,256,281,310,347,307,314,308
0:00:00,21.77681491733543,5.87565168579391,175.58962944902623,160.1224714586782,177.1485599169377,327,128,280,146,332,167,333,208,305,138,326,200,288,255,281,310,346,307,314,309
0:00:01,22.18951888798526,7.812771935680762,174.18782837574489,161.09430297591214,176.3542028481894,326,128,280,146,331,166,333,205,304,138,325,200,288,255,281,310,346,306,313,308
0:00:01,23.256115293314963,7.812771935680716,174.76254674015382,160.93986089735068,176.12154270282898,325,128,279,147,331,165,333,204,304,138,324,200,287,255,281,311,346,306,313,308
0:00:01,22.82687251575996,7.812771935680716,175.72897369927372,161.02255227343719,176.7910872363015,325,128,278,147,330,165,331,203,303,137,323,200,286,255,281,311,345,306,313,308
0:00:01,23.256115293314963,5.681113191996162,175.73503829604704,161.18821353882626,177.0268331999221,323,128,277,147,329,164,331,200,302,137,323,201,285,255,281,311,345,307,313,309
0:00:01,23.256115293314963,5.87565168579391,176.4503797382029,161.52270887509098,176.46563243737694,322,128,276,147,328,165,330,200,301,137,322,202,285,257,281,314,345,307,313,311
0:00:01,20.330989247970507,7.812771935680669,177.09198766235164,161.36153615767577,175.97067210066493,322,129,274,146,326,166,326,201,299,137,322,202,284,258,280,314,345,307,312,310
