video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,14.618966193411637,3.5578721697695883,178.46719034738493,161.38303434643316,175.12190342831363,334,99,285,111,332,140,324,182,303,93,334,172,291,236,276,290,355,293,315,291
0:00:00,14.355282646470982,5.328176526039552,178.5657680004803,161.1254578004832,173.89311472812363,334,99,284,111,333,141,324,179,304,94,334,172,291,235,276,290,354,292,315,291
0:00:00,14.618966193411666,5.167613570442465,178.65167628252723,160.92246275783796,173.02576213957516,333,99,284,111,333,141,324,178,304,95,334,172,291,235,276,291,354,292,315,292
0:00:00,14.618966193411666,3.45032512758016,178.68270529674334,160.8265243670493,172.77992230559357,333,99,284,111,333,141,325,178,303,95,334,173,291,235,276,291,354,293,315,292
0:00:00,14.355282646470982,3.55787216976969,178.68911214691602,160.70897330045324,172.76355488852187,333,100,283,112,333,142,325,178,302,96,333,173,291,235,276,291,354,293,315,292
0:00:00,13.27258612901889,1.7806705055252983,178.7883427059599,160.73198798436079,172.74610575082505,333,101,283,112,333,143,325,178,302,96,333,174,291,235,276,292,354,293,315,292
0:00:00,14.355282646470982,3.55787216976969,178.8493813230564,160.5306604054641,173.02540398478288,333,101,283,113,333,144,325,179,302,97,333,174,291,235,276,292,354,293,315,292
0:00:00,16.490714821324303,3.55787216976969,178.91330821699376,160.30548564518466,172.98337441748845,333,101,283,115,333,144,325,180,302,97,333,174,291,235,276,292,354,293,315,293
0:00:00,15.42819808291793,3.55787216976969,178.71517443779902,160.18032592522454,173.0746964950597,333,102,283,115,333,144,325,181,302,97,333,174,291,236,276,292,354,294,315,293
0:00:00,15.711128176220825,3.55787216976969,178.58835191508263,160.14687669007827,173.06687968209684,332,102,283,115,333,145,325,183,301,97,333,175,291,236,276,292,354,294,315,293
0:00:00,15.711128176220825,3.55787216976969,178.52368425617234,160.09688610222196,173.1075132224989,332,102,283,115,333,145,325,183,301,98,333,175,291,237,276,293,354,294,315,293
0:00:00,15.42819808291793,3.55787216976969,178.48927296257352,160.0943327518255,173.17649469683886,332,102,282,115,333,145,326,183,301,98,333,175,291,237,276,293,354,294,315,294
0:00:00,14.355282646470982,3.55787216976969,178.57813038260767,160.26410708082372,172.981681691042,332,103,282,115,333,145,326,183,300,98,333,176,291,238,276,294,354,294,315,294
0:00:00,15.42819808291793,3.55787216976969,178.69755905966764,160.34906099334748,172.2235966109646,332,103,282,116,334,145,327,182,300,98,333,176,291,238,276,294,354,294,315,294
0:00:00,15.42819808291793,3.55787216976969,178.75033090601983,160.49907513089028,172.25796412733155,332,103,282,116,334,145,327,182,300,99,333,177,291,238,276,294,354,295,315,294
0:00:01,15.42819808291793,3.55787216976969,178.7258235567743,160.57081451380068,171.85615202953207,332,103,282,116,334,145,327,182,300,99,333,177,291,239,276,294,354,295,315,295
0:00:01,15.711128176220853,3.55787216976969,178.7723962630484,160.84178066117047,171.50253591665614,331,103,282,116,334,144,327,181,300,99,333,178,291,239,276,294,354,295,315,295
0:00:01,15.711128176220853,3.45032512758016,178.89375118297772,160.95806067219655,171.1572699454627,331,103,282,116,334,144,327,181,300,99,333,178,291,239,276,294,354,295,315,295
0:00:01,16.00505655068804,3.5578721697695883,179.00659339516045,161.04283633524534,170.0461546058215,330,103,282,116,333,144,324,181,299,100,332,178,291,239,276,294,354,295,315,295
0:00:01,16.00505655068804,3.5578721697695883,179.20127268825206,161.21863760381382,169.7560607971774,330,103,282,116,332,144,323,181,299,100,332,178,291,239,276,294,354,295,315,295
0:00:01,16.00505655068801,3.5578721697695883,179.39764033881855,161.23977518241497,169.7717960830567,329,103,281,116,331,144,321,181,299,101,332,177,291,239,276,294,354,295,315,295
0:00:01,16.00505655068801,3.672329847256534,179.51114424895192,161.20198072045767,169.61252002117794,329,103,281,116,330,144,320,179,299,101,331,177,291,239,276,294,354,295,315,295
0:00:01,14.893002543613022,3.672329847256534,179.31931985380425,161.09516053431187,168.5954658498661,328,104,280,116,329,145,317,182,298,102,331,177,291,239,276,295,354,296,315,295
0:00:01,13.769995160582965,3.672329847256534,179.08669271598882,161.58907276531414,170.86822130693196,328,104,280,115,325,148,311,186,297,105,331,177,289,239,276,295,354,296,315,296
0:00:01,11.49405189513638,3.672329847256534,178.9983141269129,162.0093526556412,173.15508711900645,327,105,279,114,322,147,309,185,297,108,330,177,287,239,276,295,354,296,315,296
0:00:01,10.539244303119233,3.794385335221981,178.76751089620836,161.636743135886,179.31199523070535,326,106,279,114,316,148,305,190,297,107,330,177,287,239,276,295,354,296,315,296
0:00:01,8.166667753384274,5.681113191996289,178.74873125245216,161.65370946686713,175.82537746456808,325,107,278,113,317,149,304,188,297,107,330,178,288,240,276,295,354,296,315,296
0:00:01,7.236680352293888,3.794385335221981,178.61681884583092,162.78765992594384,171.19683215099,323,108,278,113,316,150,298,188,297,107,330,181,288,241,276,295,354,296,315,296
0:00:01,6.096832315824258,6.0839333410007095,178.26952292671496,163.11683620707728,166.54287727157757,322,109,278,113,315,152,295,187,297,106,330,182,288,241,276,295,354,296,315,296
0:00:01,3.5183456724116695,4.0645254927614705,177.94328621561797,163.08407988974008,169.49306416469022,321,110,277,112,315,156,299,192,297,106,331,182,288,241,276,296,354,296,315,296
0:00:01,3.460886014455781,4.0645254927614705,177.71572964127668,163.16757319987636,177.32697016843676,321,110,276,112,321,156,324,191,297,105,331,183,288,241,276,296,354,297,315,296
0:00:01,2.168154035363955,4.0645254927614705,177.45617392591174,163.02973586147567,175.85920130969964,321,111,275,112,324,156,331,188,297,104,330,183,288,242,276,296,354,297,315,297
0:00:01,4.8095768660877525,4.0645254927614705,177.05378670138674,163.44720347987428,172.88334811362878,320,114,276,111,318,160,325,196,296,101,330,183,288,241,276,296,354,297,315,297
0:00:01,6.216328996106029,2.0348494227214324,176.5272839992252,164.4429599373444,173.29400160045802,319,115,276,111,320,162,328,197,295,101,330,184,288,241,276,296,354,297,315,297
0:00:01,11.758551156748553,0.0,176.9697257165362,170.40379199951332,166.21252993269414,312,116,286,111,284,160,256,184,294,99,327,185,289,241,276,296,354,297,315,297
0:00:01,14.355282646470982,2.4767010373172305,176.81225985744803,170.6318828544989,179.83922285002797,310,115,285,109,274,151,248,177,293,96,327,186,289,241,276,296,354,298,315,297
0:00:01,19.269000345990378,2.4767010373172305,176.3742072261812,171.2065861835305,175.83836654459478,307,115,286,108,270,147,241,169,293,97,327,186,289,241,276,296,354,298,315,297
