video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,10.697828949583709,5.167613570442534,176.06181383897982,164.54009856024757,178.0866171167312,332,102,280,111,325,149,321,190,305,89,326,178,279,249,264,310,349,308,307,309
0:00:00,11.758551156748581,5.167613570442534,176.05605710928177,164.26833200574728,178.35748779303398,332,102,280,112,325,149,321,190,304,92,326,178,279,248,264,310,349,308,307,309
0:00:00,12.811736193041071,7.088234689165361,176.05895935434538,164.11647039694788,178.40885109788348,332,102,280,113,325,149,321,190,304,93,325,177,279,248,264,310,349,308,307,309
0:00:00,12.811736193041071,7.088234689165361,176.00735708868288,164.02335394678866,178.5338781940982,332,102,280,113,325,149,321,190,304,93,325,177,279,248,264,310,348,308,306,309
0:00:00,12.811736193041071,6.875549109065836,175.90577256828306,163.98837221614087,178.55558325257974,332,102,280,113,325,149,321,190,304,94,325,177,279,248,264,310,348,308,306,309
0:00:00,12.811736193041071,6.875549109065836,175.7445216638819,163.9266882533456,178.78026481825947,332,102,280,113,325,149,321,190,304,94,325,177,279,248,264,310,348,307,306,309
0:00:00,12.811736193041071,6.875549109065836,175.67781631441892,163.95001742408695,178.86150353219472,332,102,280,113,325,149,321,189,304,94,325,177,279,248,264,310,348,307,306,308
0:00:00,12.811736193041071,5.167613570442465,175.62820828704747,163.96141383967986,178.92755596959591,332,102,280,113,325,149,321,189,304,95,325,177,279,247,264,309,348,307,306,308
0:00:00,12.811736193041071,5.167613570442465,175.55844389797878,164.05113755973284,179.0524120820676,332,102,280,113,325,149,321,189,304,95,325,177,279,247,264,309,348,307,306,308
0:00:00,12.811736193041071,5.167613570442465,175.49173377294295,164.2391056850501,179.0858752355294,332,102,280,113,325,149,321,189,304,95,325,177,279,247,264,309,348,307,306,308
0:00:00,11.758551156748581,6.875549109065836,175.48926336908306,164.4935023155611,179.15339568133112,332,102,280,112,325,149,321,189,303,95,325,176,279,247,264,309,348,307,306,308
0:00:00,10.697828949583709,6.875549109065836,175.49786026691334,164.61114121312397,179.21556553442642,332,102,280,111,325,149,320,189,303,95,325,176,279,247,264,309,348,306,306,308
0:00:00,10.697828949583709,6.875549109065836,175.49914233030054,164.77566607431294,179.3325933321591,332,102,280,111,325,148,320,187,303,95,325,176,278,246,264,308,348,306,306,307
0:00:00,9.798123940072458,5.167613570442465,175.80169591770218,165.0846527127103,179.50317213239174,331,101,280,109,325,148,320,186,302,95,324,176,278,246,264,308,348,306,306,307
0:00:00,8.556444461433443,5.167613570442465,175.9494409645542,165.3581346128025,179.4793923271445,331,101,279,108,325,148,320,186,301,93,324,176,278,246,264,308,347,305,306,307
0:00:01,8.556444461433443,3.3490818947963312,176.0755998314913,165.4855302873245,179.7532421046719,331,101,279,108,325,148,320,186,300,93,324,177,277,246,264,308,347,305,306,306
0:00:01,8.556444461433443,3.3490818947963312,176.57451083604624,165.50675253843227,179.9430557844157,331,101,279,108,324,148,319,185,299,92,324,177,277,246,264,308,347,304,305,306
0:00:01,9.630230463911886,3.3490818947963312,176.65560636878882,165.4369198434004,179.91845748895685,330,100,278,108,324,147,319,184,299,91,324,177,277,246,264,308,347,304,305,306
0:00:01,9.630230463911886,5.016420291081196,176.40907080419962,165.66612539882163,179.11833702461445,329,100,277,108,324,147,319,185,299,91,323,177,277,246,263,308,347,304,305,306
0:00:01,9.630230463911857,5.167613570442534,176.50858994994587,165.9239233976148,178.24392831257578,328,100,276,108,323,147,317,184,299,91,322,178,276,246,263,308,347,304,305,306
0:00:01,8.556444461433443,3.3490818947963312,176.31899760191854,166.13869343022336,177.41321388340523,327,101,275,108,323,146,316,184,298,91,322,179,276,246,263,308,347,304,305,306
0:00:01,9.630230463911886,3.5578721697695883,176.24345996301494,166.14401098052758,176.3216134066899,326,101,274,109,321,146,313,185,298,92,320,179,276,246,263,308,347,304,305,306
0:00:01,9.468528770036954,5.167613570442534,175.84586686099215,166.30847314403138,176.62961447225095,325,102,272,110,319,146,310,185,297,93,319,179,276,246,263,308,347,305,305,307
0:00:01,9.468528770036954,7.088234689165412,175.35432429474062,166.89071386015368,176.8178051485226,324,102,271,110,317,146,307,185,295,93,317,179,274,248,263,308,347,305,305,307
0:00:01,8.414198767417815,7.088234689165412,175.47684272725914,166.78864464295557,175.67863815114757,323,103,270,110,313,148,299,188,294,95,317,179,274,247,262,308,347,305,304,307
0:00:01,7.477185254144985,7.088234689165412,175.78046551219555,166.57120820340944,175.38849427955375,321,104,269,110,309,151,293,190,293,94,317,179,274,246,262,308,347,305,304,307
0:00:01,4.345123587290743,5.328176526039621,176.40053310028586,167.02950659368864,171.75157174859828,319,105,269,108,306,151,284,190,293,94,317,179,274,246,262,308,347,306,304,307
0:00:01,0.929218745381803,3.672329847256534,176.5832179769279,167.638037653607,169.79338968028637,316,107,269,107,299,153,273,190,292,95,316,180,273,245,262,308,347,306,304,307
0:00:01,0.929218745381803,3.672329847256534,176.69989265531305,168.04190039257924,172.08110211609127,315,107,269,107,294,152,268,188,292,93,316,180,273,245,262,309,346,306,304,307
0:00:01,3.460886014455781,1.8992967650599137,176.79397303346798,168.75065467872827,168.74041485080141,314,108,269,106,292,152,262,185,291,89,315,181,273,245,262,309,346,306,304,308
0:00:01,7.37882469603943,1.8992967650599137,177.26586659279758,169.4732712847646,159.0604852587569,313,110,269,105,287,152,252,175,287,87,315,182,272,246,261,310,346,306,304,308
0:00:01,7.527494155467963,0.0,177.5841725577341,169.91783238464492,149.7590024567724,312,110,269,105,285,146,256,159,287,88,315,184,272,246,261,310,346,307,304,308
0:00:01,8.01745343454715,1.8992967650601036,177.90197907576172,170.82766926844403,146.65496638699975,310,110,270,105,280,143,246,154,286,87,314,184,272,246,261,310,346,307,304,309
0:00:01,7.415363152573121,0.0,178.30555678375833,172.07200701778015,154.29344675368645,307,110,272,106,268,139,227,151,283,85,314,185,272,246,261,310,346,307,304,309
0:00:01,6.257395271421416,1.8380722988093936,178.990842155535,172.81759222780735,133.62317700816817,306,109,274,106,268,132,223,132,279,85,314,185,272,246,261,310,346,307,304,309
0:00:01,8.484656086292205,1.8992967650601036,179.69276553031548,173.46023029736787,129.12332313441837,306,110,276,106,264,129,221,125,277,86,313,185,272,246,261,310,346,307,303,309
0:00:01,7.47718525414507,1.8992967650601036,179.5845312470421,174.7367007937837,127.46343290276334,304,109,278,106,265,124,227,116,277,86,313,185,272,247,261,310,345,307,303,309
0:00:01,8.322263363268775,1.9647387569719397,178.85685643243832,175.9007244635159,121.32284320142354,303,109,280,106,259,119,229,107,279,86,312,186,272,247,261,310,345,307,303,309
0:00:01,6.096832315824258,2.0348494227214324,177.98784935414724,176.08122334844168,117.0027556254533,303,107,281,105,266,115,233,99,279,84,312,186,272,248,262,310,344,307,303,309
0:00:01,3.302845754001254,2.0348494227214324,177.3430310928958,175.57846926055757,107.14379533070274,304,104,280,105,269,110,247,90,280,84,312,186,272,248,262,310,344,307,303,309
0:00:01,3.1204463765894843,2.0348494227216096,176.61861461891698,175.14984230970455,88.24362056754268,305,104,279,105,283,112,261,94,281,83,313,186,272,248,262,310,344,308,303,309
0:00:01,3.1204463765894843,2.110146604814005,176.20576967307613,174.92245243570258,88.57933565931889,306,103,280,104,282,108,267,84,280,83,313,186,272,249,262,311,344,308,303,309
0:00:01,5.305216547759187,2.0348494227216096,175.87763838649417,174.12318084645355,101.96519226360408,306,102,280,104,281,105,263,80,279,83,315,186,272,248,261,311,343,308,302,309
0:00:01,5.873304049912917,0.0,175.82264412256418,173.7612862627339,92.88410345017542,306,102,283,104,281,109,260,89,281,84,317,187,272,249,261,311,343,308,302,310
0:00:01,3.5183456724116695,2.0348494227214324,177.06162814202003,172.67556038376708,94.43980800057007,307,103,285,104,277,112,258,95,286,83,320,187,273,249,261,310,344,309,303,309
0:00:02,9.415945759123133,0.0,179.69237087514733,172.21501110214197,107.56302794592128,310,106,290,109,276,118,244,102,289,88,323,187,275,249,262,310,345,309,303,309
0:00:02,14.893002543613079,0.0,174.26343190984852,169.51759152100905,144.88453130895968,318,111,290,118,279,125,239,124,291,94,326,189,279,250,263,310,347,308,305,309
0:00:02,14.89300254361305,1.7267443153699291,171.40642512108766,167.47261422428616,141.72376086989414,321,110,289,118,292,131,253,136,296,93,329,189,284,251,263,310,349,308,306,309
0:00:02,11.913161989137762,3.672329847256534,170.0194653206798,163.3025733861069,169.21966214451447,327,108,286,116,307,141,279,169,301,95,333,186,289,251,263,310,350,308,307,309
0:00:02,16.00505655068804,7.314423978090368,171.32395654112463,161.33376743123873,176.95053404967376,334,102,286,115,320,144,305,181,308,98,336,183,294,251,264,308,351,308,307,308
0:00:02,19.632052761254215,5.681113191996226,173.96221751632888,161.29655495760272,174.9859420204964,333,96,286,112,329,140,332,178,309,97,337,180,298,251,264,306,352,308,308,307
0:00:02,16.599079709780142,4.214525146502608,176.01061786916682,162.76318313401413,175.82494782944738,329,97,290,108,338,137,350,171,314,89,339,181,301,251,264,305,352,308,308,306
0:00:02,20.96157200358425,4.550309185597642,179.25128868714867,165.77041760541044,176.7515742983755,329,97,299,108,353,133,376,163,313,81,339,179,304,249,264,302,351,308,308,305
0:00:02,41.32091625665899,5.681113191996226,179.41807085430705,170.26867486491776,168.2461586393574,322,96,308,108,351,107,388,114,323,82,337,178,306,249,262,301,351,308,306,304
0:00:02,67.96151554980449,6.675198440311282,178.80835335752244,171.62680513537455,179.9023755819424,314,96,309,108,350,91,377,88,331,83,336,179,307,249,260,298,351,308,305,303
0:00:02,156.92116818175026,8.08813211243737,176.96082612045052,178.29842266315612,167.74860777764272,308,96,322,102,323,79,352,58,328,81,335,179,310,246,259,293,351,307,305,300
0:00:02,170.58652538736627,16.61303728523844,175.68858114975916,176.77912664542862,167.99024384858245,307,91,331,95,314,81,343,56,334,78,334,177,311,244,259,293,350,307,305,300
0:00:02,177.72121483397257,23.078831818249768,175.0794214734788,176.20302400513776,179.16244431102268,308,90,333,91,316,80,339,52,335,70,333,175,312,243,260,293,350,307,305,300
0:00:02,175.93547450723852,15.86308056329135,174.9191301242769,174.46771615811886,167.004030666847,309,90,337,88,316,79,324,57,333,70,333,176,310,243,261,294,350,307,306,300
0:00:02,173.1244508909341,21.688863495404785,174.7763071770302,172.09968086453668,170.8256009882522,311,88,344,84,310,66,317,39,339,67,333,175,309,244,261,295,350,307,306,301
0:00:02,177.0794814580052,165.10699745638695,176.12748666513315,167.77288199601432,165.72043060810725,311,87,350,85,306,66,310,41,345,70,330,176,311,243,262,295,350,307,306,301
0:00:02,172.9117653108346,160.73099965400962,175.66262386346378,167.8140067408389,170.07316805858662,312,86,352,81,302,68,294,41,339,66,330,176,310,243,263,294,349,307,306,300
0:00:02,172.34367780868075,165.10699745638695,175.01261252120645,167.4033118949259,155.55633918570658,316,86,353,81,298,72,291,49,340,62,330,177,310,243,263,294,349,307,306,300
0:00:02,172.9117653108346,169.65730664198452,175.1400853326092,165.81207305726718,133.70771372827366,316,87,356,82,295,78,290,57,343,64,329,178,309,243,263,294,349,307,306,301
0:00:02,172.1336566515214,167.81923434317503,175.52492477934524,166.53267170298184,115.75714360178289,319,87,355,82,291,81,287,59,352,65,329,177,309,243,263,295,348,307,306,301
0:00:02,170.8849519799815,179.0707812546182,174.9213278982873,168.37989759670273,108.10530472112974,321,87,352,82,292,84,288,63,352,66,331,177,309,243,263,295,348,307,305,301
0:00:02,167.0724656609285,134.30308594096365,174.12375743807996,170.4648746853586,109.81621119692427,324,88,350,82,295,85,288,63,350,66,332,178,309,243,263,295,348,307,305,301
0:00:02,161.6602183993914,44.767695313654556,173.18460459204468,172.12071988203215,112.19525354524671,330,89,348,83,298,86,290,66,348,65,334,179,309,243,263,295,347,307,305,301
0:00:02,64.03669565964495,21.6888634954048,172.3570247154023,178.26876502975412,112.44068276030312,335,87,333,83,304,86,292,66,350,64,336,179,309,243,263,295,347,307,305,301
0:00:02,4.993744238143336,11.251546911443185,171.72989898183533,177.70566884795426,24.478582121420455,352,86,324,84,355,117,359,112,352,65,338,179,309,244,263,295,347,308,305,301
0:00:02,171.07369301202513,26.42791371304595,174.76113177974807,170.1445335142229,24.12573402329413,331,86,350,83,302,112,311,76,357,64,332,179,309,244,263,295,347,308,305,301
0:00:02,171.91186788756264,89.5353906273091,175.71453509228732,168.17590899460893,31.21477404688926,326,86,354,82,297,105,307,70,359,63,330,179,308,244,262,295,347,308,305,302
0:00:02,176.20561466477812,0,176.2036437632633,168.3673515743098,81.99828154253551,323,84,353,82,299,82,312,59,359,62,330,179,308,244,262,296,347,308,305,302
0:00:02,178.10070323493989,0,176.65917832921494,169.05383031523039,105.70290864291006,321,82,351,81,306,59,322,53,359,62,330,179,307,245,262,296,347,308,304,302
0:00:02,178.10070323493989,0,176.74627066104864,169.50498379684515,116.29475614573303,320,82,350,81,306,67,320,56,359,61,330,179,307,245,262,296,347,308,304,302
0:00:03,177.80877236879212,0.0,176.66977673852432,170.7090121180463,132.84484936983347,321,82,347,81,311,69,324,53,360,61,331,179,306,245,262,296,347,308,304,302
0:00:03,177.80877236879212,26.42791371304595,176.82547210096922,170.74807165757795,130.81255653274843,321,82,347,81,311,70,322,55,360,61,331,178,306,245,261,296,347,308,304,302
0:00:03,177.52329896268276,18.33978160060861,176.9889797662899,171.60799368027233,141.07874993893657,321,82,344,81,312,68,321,53,359,61,331,178,305,245,261,296,347,308,304,302
