video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,18.193656242755168,11.251546911443185,179.98698101323453,173.43909822317576,177.0624692646548,322,118,290,128,319,161,314,198,298,108,317,187,286,245,274,296,344,294,309,295
0:00:00,171.91186788756266,179.0707812546182,176.41213206471977,176.80693298979514,177.9092055301086,284,128,326,122,297,166,310,200,298,103,303,190,330,245,340,296,277,297,309,297
0:00:00,168.49954637374367,176.3585443678301,175.2125362421693,176.77694013713509,177.52377982192772,283,130,327,121,296,167,310,200,297,103,302,190,333,244,343,296,275,297,309,297
0:00:00,168.49954637374367,176.22315269846732,174.9625001593449,176.9501329668754,178.06836206572694,283,130,327,121,296,167,310,200,297,104,302,190,333,244,343,296,275,297,309,297
0:00:00,168.49954637374367,176.22315269846732,175.0175807598335,176.92395526539408,178.3705391273276,283,130,327,121,296,166,310,200,297,103,302,190,333,244,343,296,275,297,309,297
0:00:00,168.0505287851699,173.90316768417568,175.41109589586884,175.38404228119165,177.26812863964287,282,130,329,120,295,167,310,200,297,101,301,191,334,244,343,296,275,297,309,297
0:00:00,167.79854103686216,173.90316768417568,175.47200107469368,175.8169127572692,177.41679370413578,282,130,328,120,295,167,310,200,297,101,301,191,334,244,343,296,275,297,309,297
0:00:00,167.5358700851853,173.658533993081,175.39650905987966,175.94081252503483,178.4545688047978,282,130,327,120,296,166,310,200,297,101,301,191,334,244,343,296,275,298,309,297
0:00:00,167.5358700851853,173.38966806262198,175.30679369521812,176.32811419687465,179.1503106646143,282,130,327,120,296,166,310,200,297,101,302,191,333,244,343,296,275,298,309,297
0:00:00,167.79854103686216,173.90316768417568,175.50443508244592,176.0343264513292,178.07573611711425,282,131,328,121,296,167,310,200,297,102,301,191,334,244,343,296,275,298,309,297
0:00:00,167.79854103686216,173.90316768417568,175.4444425327536,175.9396008488089,177.6558081962755,282,131,328,121,295,167,310,200,297,102,301,191,334,245,343,296,275,298,309,297
0:00:00,167.79854103686216,173.658533993081,175.17821819897816,176.0560717685097,178.07690665491063,282,131,328,121,296,167,310,200,297,102,301,191,334,245,343,296,275,298,309,297
0:00:00,168.0505287851699,173.90316768417568,175.1491248421536,175.34546091325043,177.27243194011652,282,131,329,121,295,167,310,200,297,101,301,191,334,245,343,296,275,298,309,297
0:00:00,167.79854103686216,173.658533993081,175.11818531990312,175.71817431817968,177.74629751401116,282,131,328,121,296,167,310,200,297,101,301,191,334,245,343,296,275,298,309,297
0:00:00,168.0505287851699,173.90316768417568,175.3742773130409,175.1337286158422,177.3470273824157,282,131,329,121,295,167,310,200,298,102,301,191,334,245,343,296,275,298,309,297
0:00:01,167.79854103686216,173.90316768417568,175.3079668185941,175.52355220555214,177.308613676631,282,131,328,121,295,167,310,201,298,102,301,191,334,245,343,297,275,298,309,297
0:00:01,167.79854103686216,173.658533993081,175.2252171674058,175.81157591174,177.47807456393343,282,131,328,121,296,167,310,200,298,101,301,191,334,245,343,297,275,298,309,297
0:00:01,168.98694542067503,173.658533993081,175.28287846167242,175.89705475651093,177.51708254236897,282,130,328,121,296,167,311,200,298,101,301,191,334,245,343,297,275,298,309,297
0:00:01,167.79854103686216,173.658533993081,175.4960982459303,175.60079378566078,177.23565856010615,282,130,328,120,295,167,310,200,299,101,301,191,334,244,344,297,275,298,309,297
0:00:01,166.3637988020714,173.38966806262198,175.2657223530097,177.99994318279442,177.76711045332036,282,130,323,120,295,166,310,200,299,102,301,191,334,244,344,297,275,297,309,297
0:00:01,162.27309800548417,171.5153439137078,173.0017401274676,174.59051317206493,179.76286310954055,284,130,312,121,297,165,309,200,299,104,304,191,335,244,343,297,275,298,309,297
0:00:01,166.44335213492528,171.98254656545285,173.82621039691622,177.09100863223176,177.30901221211755,283,129,316,121,296,165,306,199,300,105,303,191,335,244,343,297,275,297,309,297
0:00:01,167.3850767861759,176.48165432758847,175.45507358845904,177.1956736506299,178.65453515123082,281,129,321,120,291,165,302,199,299,102,298,191,335,245,343,298,275,298,309,298
0:00:01,166.3637988020714,176.22315269846732,175.01040622382115,177.445604191755,179.65761849158704,280,129,321,119,290,165,299,198,299,102,299,191,335,245,343,298,275,298,309,298
