video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,14.594575950997807,2.278785166027596,172.35722182854917,162.52067729620038,175.91553963655286,333,132,288,143,325,173,323,208,304,128,331,197,287,250,268,308,354,306,311,307
0:00:00,16.105585546984514,4.3759978023773245,172.39423531499176,161.35749200408384,176.0495516765898,332,132,288,144,325,173,323,208,303,129,331,195,287,249,268,308,354,306,311,307
0:00:00,16.105585546984514,4.3759978023773245,172.42705989998305,160.7128848838025,176.40101113711899,332,132,288,144,325,173,323,207,303,129,331,195,287,249,268,308,353,306,311,307
0:00:00,17.304261589018438,4.3759978023773245,172.42833198524028,160.39135312675978,176.79493417934845,332,132,288,145,325,173,323,208,303,129,331,195,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.547966508763213,172.51961312813856,160.10770005892894,177.08315861485036,332,132,288,145,326,173,323,208,303,129,331,194,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.60171664333458,159.99431423147817,177.24261022353838,332,132,288,145,326,173,323,208,303,130,331,194,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.69146691030667,159.93810985765717,177.239604577997,332,132,288,145,325,173,323,208,303,130,331,194,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.78947638735045,159.91538573052566,177.2110087950432,332,132,288,145,325,173,323,208,303,130,331,194,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.8338908523812,159.9218487970152,177.1754009122701,332,132,288,145,325,173,323,208,303,130,331,194,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.84240790488855,159.9128538265869,177.17857659185927,332,132,288,145,325,173,323,208,303,130,331,194,287,249,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.84947741455105,159.9140964683221,177.19245874563111,332,132,288,145,325,173,323,208,303,130,331,194,287,250,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.85839388278475,159.91306878373337,177.1919936476563,332,132,288,145,325,173,323,208,303,130,331,194,287,250,268,308,353,306,310,307
0:00:00,17.304261589018438,6.307461606911993,172.85624644790212,159.89751677025637,177.1988496990639,332,132,288,145,325,173,323,208,303,130,331,194,287,250,268,308,353,306,310,307
0:00:00,17.304261589018438,4.214525146502523,172.86354564881427,159.94255080989115,177.21169600696464,332,132,288,145,325,173,323,208,303,130,331,195,287,250,268,308,353,306,310,307
0:00:00,17.304261589018438,4.214525146502523,172.83504676181897,160.0033353027023,177.16007955844955,332,132,288,145,325,173,323,208,303,130,331,195,287,250,268,308,353,306,310,307
0:00:01,17.304261589018438,4.214525146502523,172.84292998878152,160.02291993564097,177.04024893744293,332,132,288,145,325,173,323,208,303,130,331,195,287,250,268,308,353,306,310,307
0:00:01,17.304261589018438,4.214525146502523,172.81516600824634,160.19165694468228,176.53159445672472,332,132,288,145,325,173,322,208,303,130,331,195,287,250,268,308,353,306,310,307
0:00:01,17.30426158901841,4.214525146502523,172.63996532358377,160.26715859560215,177.01047096512733,331,132,287,145,324,174,321,208,303,130,331,195,287,250,268,308,353,306,310,307
0:00:01,16.95945425472462,6.307461606911993,172.59953213779448,159.7792192005046,178.1640439682757,331,132,286,145,324,173,319,208,303,130,331,194,287,250,268,308,353,306,310,307
0:00:01,16.628506656055777,6.0839333410007095,171.97553581376036,159.77377753429658,178.42097541593958,331,132,285,145,323,173,318,207,303,130,330,194,286,250,269,309,353,305,311,307
0:00:01,14.308407657038032,6.0839333410007095,171.62269457490717,159.75617578544012,177.90050925125715,330,134,284,145,320,174,315,208,304,130,330,195,285,250,269,309,353,305,311,307
0:00:01,14.594575950997807,6.307461606911993,171.5795117920787,160.42199733685771,175.87340351292897,329,134,284,145,317,174,311,208,304,129,330,197,285,250,268,308,353,305,310,307
0:00:01,13.667385010397851,4.214525146502694,171.01382967817568,161.48596099272743,177.89894731763596,328,135,284,145,316,174,308,208,304,131,329,198,284,251,268,308,353,305,311,306
0:00:01,12.68968070507566,4.214525146502694,170.95294093331893,162.51189327157266,177.3394233845331,327,135,284,144,312,174,302,208,304,131,329,200,283,251,269,307,353,305,311,306
0:00:01,8.831683762028803,4.214525146502694,171.16926204937866,162.9799834959183,177.9800782681405,326,137,283,143,308,174,294,208,303,131,329,201,283,252,269,307,353,305,311,306
