video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,12.961538739078321,4.873801739657673,178.99542931374762,158.4797960263284,172.8971906592143,365,85,309,97,362,140,350,179,323,78,363,158,319,224,312,287,383,287,348,287
0:00:00,11.001623541373874,4.873801739657673,178.7824045314274,158.75870848715792,173.93868987774084,365,87,309,97,361,141,350,180,323,80,364,159,319,224,312,287,383,287,348,287
0:00:00,10.012262276905062,4.873801739657673,178.6873593273661,158.97308626728616,174.5727809796584,365,88,309,97,360,142,350,180,322,82,364,159,319,224,312,287,383,287,348,287
0:00:00,10.174552252794598,3.2536045971572,178.62094793360527,159.13284734545002,174.93117570192084,365,88,310,97,360,142,350,180,323,83,364,160,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,3.2536045971572,178.57115346618707,159.2574919150146,174.86199008846955,365,89,310,97,360,142,350,180,323,84,364,160,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,3.2536045971572,178.507713365966,159.30131090356653,174.79707326431097,365,89,310,97,360,142,350,180,323,84,364,160,319,224,312,287,383,286,348,287
0:00:00,8.144970000340209,3.2536045971572,178.47208459850577,159.36724189804738,174.79078930822288,365,89,310,96,360,142,350,180,323,84,364,160,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,3.3490818947962238,178.4169171849383,159.39971197425572,174.8292371656594,365,88,310,96,360,142,350,180,323,84,363,160,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,3.3490818947962238,178.36939473804873,159.44559136905548,174.8099400451288,365,88,310,96,360,142,350,180,323,84,363,160,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,3.3490818947962238,178.33751637066078,159.46416214126677,174.7848731837233,365,88,310,96,360,142,350,180,323,84,363,160,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,5.016420291081196,178.30735545266566,159.50628315310573,174.81001937822364,365,88,310,96,360,142,350,180,323,84,363,159,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,4.873801739657673,178.26067758214455,159.50529643206946,174.74191930941598,365,88,310,96,360,142,350,180,323,84,363,159,319,224,312,287,383,286,348,287
0:00:00,9.162388712736458,4.873801739657673,178.18467357947137,159.5476070272271,174.6703951296144,365,88,310,96,360,142,350,180,323,84,363,159,319,224,312,287,383,286,348,287
0:00:00,10.174552252794598,4.873801739657673,178.11904795502682,159.52349924549034,174.63295639674087,365,88,310,97,360,142,350,180,322,84,363,159,319,224,312,287,383,286,348,286
0:00:00,11.180868233553014,4.739050217641116,177.9591105806088,159.74617321955824,174.66411964201907,365,87,310,97,360,142,350,180,322,80,363,159,319,224,312,287,383,286,348,286
0:00:01,11.366535329343407,4.873801739657748,177.8573106104913,159.90868595123933,174.61725792842773,364,87,310,97,360,141,351,180,322,80,362,159,318,224,312,287,383,286,348,286
0:00:01,12.180765656825002,4.739050217641116,177.82889081225963,160.0314952588372,174.4493399023717,364,86,309,97,360,141,351,180,322,80,362,159,318,224,312,287,383,286,348,286
0:00:01,12.383611775603356,4.873801739657748,177.76016552973397,159.95621632758895,174.33647007806192,363,86,309,97,360,141,350,180,322,80,361,159,318,224,312,287,383,286,348,287
0:00:01,12.180765656824974,6.486144407191291,177.83929626118876,159.6873164978221,174.6666500045852,362,86,307,97,358,141,349,180,323,78,361,159,318,225,312,287,383,286,348,287
0:00:01,10.34269335801551,4.873801739657748,178.07929866745678,159.33657987305432,175.0736135958878,360,87,306,96,356,141,346,181,321,73,361,160,317,225,312,288,383,286,347,287
