video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,5.830893343453539,1.5829262858252213,179.44721541722436,158.24610667863595,177.2527960462115,330,118,272,123,321,163,311,199,300,109,322,180,283,241,272,297,337,294,305,295
0:00:00,6.804870431175715,1.5829262858252213,179.87516137876867,158.79301451717603,177.54780563384193,330,117,272,123,321,163,312,199,299,108,322,181,283,241,272,296,337,294,305,295
0:00:00,6.804870431175715,0.0,179.5549059840104,158.9770079349213,177.8068873933899,330,117,272,123,322,162,312,199,299,108,322,182,283,241,272,296,337,293,304,294
0:00:00,7.775416672695769,0.0,179.22552520119,159.0381871977747,177.9698012746335,330,116,272,123,322,161,312,199,299,108,322,182,284,241,272,296,337,293,304,294
0:00:00,7.775416672695769,1.5829262858252213,179.01704985366797,159.07225338266446,178.07285537650014,330,116,272,123,322,161,312,199,298,107,322,182,284,241,271,296,337,293,304,294
0:00:00,7.660464365270201,1.5829262858252213,178.81526126313832,159.15899722514342,178.16978077221032,331,116,272,123,322,161,312,199,298,103,322,182,284,241,271,296,337,293,304,294
0:00:00,7.660464365270201,1.5829262858252213,178.75886333541834,159.29220875047272,178.38300091566683,331,116,272,123,321,161,312,199,298,103,322,182,284,241,271,296,337,293,304,294
0:00:00,7.660464365270201,1.6281284968095155,178.72054624064876,159.41986162882228,178.54882408344827,331,116,272,123,321,161,312,199,298,102,321,182,284,241,271,296,337,293,304,294
0:00:00,7.660464365270201,1.6281284968095155,178.71123624194416,159.49342306089122,178.86094191869,331,116,272,123,321,161,312,200,298,103,321,182,284,241,271,296,337,293,304,294
0:00:00,7.660464365270201,1.6281284968095155,178.73155702776066,159.48714592039136,179.02976808020668,331,116,272,123,321,161,312,200,298,102,321,182,284,241,271,295,337,293,304,294
0:00:00,7.775416672695769,1.6281284968095155,178.79554483812913,159.44694586408215,179.30995317343863,330,116,272,123,321,162,312,200,298,103,321,182,284,241,271,295,337,293,304,294
0:00:00,7.775416672695769,1.6281284968095155,178.82055099899458,159.33279310686507,179.55411197077598,330,116,272,123,321,162,312,201,298,103,321,182,284,241,271,295,337,293,304,294
0:00:00,7.775416672695769,1.6281284968095155,178.8714785205856,159.3184878180007,179.79036758955826,330,116,272,123,320,162,312,201,298,103,321,182,284,241,271,295,337,293,304,294
0:00:00,7.775416672695769,1.6281284968095155,179.37524428316226,158.97682710508442,179.82902780289405,330,116,272,123,320,162,312,201,298,103,321,182,284,241,271,296,337,293,304,294
0:00:00,7.660464365270201,3.253604597157089,179.6505315523119,158.76010215030618,179.8421523500079,330,116,271,123,320,162,312,201,298,103,321,181,283,241,271,296,337,293,304,294
0:00:01,7.660464365270201,3.253604597157089,179.8437903860923,158.60771124686804,179.98915010794232,330,116,271,123,320,162,312,201,297,103,321,181,283,241,271,296,337,293,304,294
