video_timestamp,shoulders_inclination,hips_inclination,knee_angle,pelvis_angle,arm_angle,left_shoulder X,left_shoulder Y,right_shoulder X,right_shoulder Y,left_elbow X,left_elbow Y,left_wrist X,left_wrist Y,nose X,nose Y,left_hip X,left_hip Y,right_knee X,right_knee Y,right_ankle X,right_ankle Yleft_ankle X,left_ankle Y,midpoint X,midpoint Y
0:00:00,14.20903537277664,7.656322191319287,177.0453708739221,159.44229818327045,164.78563478407958,336,85,277,99,338,134,319,177,296,79,332,160,284,228,272,300,357,298,315,299
0:00:00,14.20903537277664,4.739050217641039,176.56932430313148,160.05083001089088,164.80735162029853,336,85,277,99,338,134,320,177,296,83,331,162,284,228,272,300,356,297,314,299
0:00:00,14.20903537277664,4.739050217641039,176.38614696488798,160.30053598113963,164.93417125588905,336,85,277,99,338,134,320,177,296,83,331,162,284,228,272,300,356,297,314,299
0:00:00,14.20903537277664,4.739050217641039,176.12484953733238,160.14804634624312,165.06480287423744,336,85,277,99,338,134,320,177,296,84,331,163,284,228,272,300,355,297,314,299
0:00:00,14.20903537277664,4.739050217641039,175.95442164501145,159.99554101998916,165.45466000753063,336,85,277,99,338,134,320,177,295,85,331,163,284,228,272,300,355,297,314,299
0:00:00,15.12009297556665,4.739050217641039,175.81993414245775,159.89527372041104,165.42752966765207,336,85,277,100,337,135,319,177,295,84,331,163,285,228,272,300,355,297,314,299
0:00:00,15.12009297556665,4.739050217641039,175.7031539560431,159.48361683872704,165.13281163975805,335,85,276,100,337,135,319,177,294,85,331,163,286,228,272,300,355,297,313,299
0:00:00,16.023806550011727,4.739050217641039,175.65540244363837,159.11070357339244,164.73237658581036,335,85,276,101,337,134,319,176,294,84,331,163,286,227,272,299,355,297,314,298
0:00:00,16.023806550011756,4.739050217641039,175.622666525585,158.86202847170009,164.4880670936359,334,85,275,101,337,134,319,176,294,84,331,163,286,227,273,299,355,297,314,298
0:00:00,16.023806550011756,4.739050217641039,175.6385231219768,158.53939013559605,164.02320737600803,334,85,275,101,337,134,319,176,294,84,331,163,287,227,274,298,355,297,314,298
0:00:00,16.023806550011756,6.307461606912107,175.59001677061497,158.44129000148322,163.55195541824003,333,85,274,101,337,134,319,175,293,84,331,163,287,226,275,297,355,297,315,297
0:00:00,16.023806550011784,6.307461606912107,175.59160686437167,158.06932909535587,163.61332253017179,332,85,273,101,336,134,317,175,293,85,331,163,287,225,275,297,355,298,315,297
0:00:00,16.023806550011756,6.30746160691205,175.8749632773886,157.9077651426204,163.30433929402506,331,85,272,101,334,133,315,175,292,84,330,163,287,226,275,297,355,298,315,297
0:00:00,17.18092965021978,9.413474612633724,175.64287890803476,157.48116012785965,164.03038747164496,330,85,272,102,332,133,312,175,292,85,329,160,286,227,275,298,355,298,315,298
0:00:00,16.792299308673137,11.251546911443251,176.0260257934109,157.060215123324,164.52347621786092,327,85,271,101,329,133,310,174,291,85,327,158,283,229,274,298,354,298,314,298
0:00:01,17.065678507453015,12.464129914814702,176.45267808100755,157.71830661474516,164.45273884229113,325,84,270,100,326,130,307,172,290,84,327,158,281,230,274,299,354,298,314,298
